gameId,teamAbbrev,homeRoadFlag,gameDate,goals,assists,commonName,opponentCommonName,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,shorthandedGoals,shorthandedPoints,toi,opponentAbbrev,pim,season
2025020841,COL,R,2026-01-28,0,0,{'default': 'Avalanche'},"{'default': 'Senators', 'fr': 'Sénateurs'}",0,-3,0,0,0,0,1,26,0,0,23:36,OTT,0,2025
2025020819,COL,R,2026-01-25,0,1,{'default': 'Avalanche'},{'default': 'Maple Leafs'},1,2,0,0,0,0,2,23,0,0,23:18,TOR,0,2025
2025020805,COL,H,2026-01-23,0,2,{'default': 'Avalanche'},{'default': 'Flyers'},2,-1,0,0,0,0,1,23,0,0,26:15,PHI,2,2025
2025020789,COL,H,2026-01-21,0,0,{'default': 'Avalanche'},{'default': 'Ducks'},0,-1,0,0,0,0,3,29,0,0,29:18,ANA,0,2025
2025020771,COL,H,2026-01-19,2,1,{'default': 'Avalanche'},{'default': 'Capitals'},3,2,1,1,0,0,10,28,0,0,22:27,WSH,0,2025
2025020752,COL,H,2026-01-16,0,1,{'default': 'Avalanche'},{'default': 'Predators'},1,-2,0,0,0,0,4,24,0,0,20:37,NSH,0,2025
2025020723,COL,H,2026-01-12,0,3,{'default': 'Avalanche'},{'default': 'Maple Leafs'},3,1,0,1,0,0,3,29,0,0,24:40,TOR,0,2025
2025020699,COL,H,2026-01-10,0,0,{'default': 'Avalanche'},{'default': 'Blue Jackets'},0,0,0,0,0,0,8,19,0,0,20:08,CBJ,2,2025
2025020691,COL,H,2026-01-08,1,3,{'default': 'Avalanche'},"{'default': 'Senators', 'fr': 'Sénateurs'}",4,0,0,2,0,0,5,19,0,0,17:14,OTT,0,2025
2025020668,COL,R,2026-01-06,0,0,{'default': 'Avalanche'},{'default': 'Lightning'},0,-2,0,0,0,0,5,23,0,0,22:37,TBL,0,2025
2025020659,COL,R,2026-01-04,0,0,{'default': 'Avalanche'},{'default': 'Panthers'},0,-1,0,0,0,0,5,22,0,0,23:12,FLA,0,2025
2025020653,COL,R,2026-01-03,1,3,{'default': 'Avalanche'},{'default': 'Hurricanes'},4,0,0,2,0,0,2,24,0,0,20:04,CAR,0,2025
2025020629,COL,H,2025-12-31,2,2,{'default': 'Avalanche'},{'default': 'Blues'},4,3,0,1,1,0,7,21,0,0,17:12,STL,0,2025
2025020611,COL,H,2025-12-29,1,1,{'default': 'Avalanche'},{'default': 'Kings'},2,1,0,0,0,0,2,20,0,0,21:08,LAK,0,2025
2025020600,COL,R,2025-12-27,1,2,{'default': 'Avalanche'},{'default': 'Golden Knights'},3,2,0,0,0,0,9,30,0,0,25:28,VGK,0,2025
2025020584,COL,H,2025-12-23,0,0,{'default': 'Avalanche'},{'default': 'Mammoth'},0,0,0,0,0,0,1,22,0,0,21:45,UTA,2,2025
2025020563,COL,R,2025-12-21,2,0,{'default': 'Avalanche'},{'default': 'Wild'},2,2,1,1,1,0,4,25,0,0,22:33,MIN,0,2025
2025020546,COL,H,2025-12-19,0,1,{'default': 'Avalanche'},{'default': 'Jets'},1,0,0,0,0,0,1,24,0,0,24:21,WPG,0,2025
2025020528,COL,R,2025-12-16,2,1,{'default': 'Avalanche'},{'default': 'Kraken'},3,3,0,1,0,0,6,22,0,0,23:30,SEA,0,2025
2025020506,COL,H,2025-12-13,1,1,{'default': 'Avalanche'},{'default': 'Predators'},2,3,0,0,0,0,3,24,0,0,23:29,NSH,0,2025
2025020490,COL,H,2025-12-11,1,1,{'default': 'Avalanche'},{'default': 'Panthers'},2,2,0,0,0,0,7,22,0,0,19:34,FLA,0,2025
2025020475,COL,R,2025-12-09,0,2,{'default': 'Avalanche'},{'default': 'Predators'},2,0,0,1,0,0,7,26,0,0,28:22,NSH,0,2025
2025020453,COL,R,2025-12-07,0,1,{'default': 'Avalanche'},{'default': 'Flyers'},1,0,0,1,0,0,6,21,0,0,22:53,PHI,0,2025
2025020441,COL,R,2025-12-06,2,0,{'default': 'Avalanche'},{'default': 'Rangers'},2,3,0,0,1,1,7,25,0,0,24:56,NYR,0,2025
2025020430,COL,R,2025-12-04,0,0,{'default': 'Avalanche'},{'default': 'Islanders'},0,0,0,0,0,0,6,23,0,0,22:10,NYI,0,2025
2025020417,COL,H,2025-12-02,2,0,{'default': 'Avalanche'},{'default': 'Canucks'},2,2,0,0,0,0,6,24,0,0,22:15,VAN,0,2025
2025020392,COL,H,2025-11-29,1,2,{'default': 'Avalanche'},{'default': 'Canadiens'},3,2,0,1,0,0,5,22,0,0,14:49,MTL,0,2025
2025020378,COL,R,2025-11-28,1,1,{'default': 'Avalanche'},{'default': 'Wild'},2,2,0,0,0,0,4,28,0,0,23:58,MIN,0,2025
2025020371,COL,H,2025-11-26,1,1,{'default': 'Avalanche'},{'default': 'Sharks'},2,3,1,1,0,0,5,19,0,0,18:19,SJS,0,2025
2025020350,COL,R,2025-11-23,0,0,{'default': 'Avalanche'},{'default': 'Blackhawks'},0,0,0,0,0,0,4,25,0,0,24:29,CHI,0,2025
2025020343,COL,R,2025-11-22,1,0,{'default': 'Avalanche'},{'default': 'Predators'},1,1,0,0,0,0,1,20,0,0,21:11,NSH,0,2025
2025020326,COL,H,2025-11-20,2,1,{'default': 'Avalanche'},{'default': 'Rangers'},3,3,0,0,1,0,4,26,0,0,25:09,NYR,0,2025
2025020300,COL,H,2025-11-16,0,0,{'default': 'Avalanche'},{'default': 'Islanders'},0,1,0,0,0,0,3,21,0,0,21:19,NYI,0,2025
2025020275,COL,H,2025-11-13,0,1,{'default': 'Avalanche'},{'default': 'Sabres'},1,3,0,0,0,0,8,22,0,0,21:04,BUF,2,2025
2025020262,COL,H,2025-11-11,0,3,{'default': 'Avalanche'},{'default': 'Ducks'},3,2,0,1,0,0,3,22,0,0,20:59,ANA,0,2025
2025020250,COL,R,2025-11-09,2,3,{'default': 'Avalanche'},{'default': 'Canucks'},5,0,1,2,0,0,4,25,0,0,20:03,VAN,0,2025
2025020240,COL,R,2025-11-08,2,2,{'default': 'Avalanche'},{'default': 'Oilers'},4,4,0,0,0,0,6,21,0,0,19:46,EDM,2,2025
2025020209,COL,H,2025-11-04,0,1,{'default': 'Avalanche'},{'default': 'Lightning'},1,-1,0,1,0,0,6,23,0,0,22:00,TBL,0,2025
2025020184,COL,R,2025-11-01,1,0,{'default': 'Avalanche'},{'default': 'Sharks'},1,0,0,0,0,0,4,24,0,0,22:17,SJS,0,2025
2025020178,COL,R,2025-10-31,0,1,{'default': 'Avalanche'},{'default': 'Golden Knights'},1,3,0,0,0,0,2,24,0,0,20:09,VGK,0,2025
2025020161,COL,H,2025-10-28,2,1,{'default': 'Avalanche'},{'default': 'Devils'},3,-1,2,3,0,0,5,23,0,0,19:56,NJD,0,2025
2025020140,COL,R,2025-10-26,1,0,{'default': 'Avalanche'},{'default': 'Devils'},1,-1,0,0,0,0,4,25,0,0,21:39,NJD,0,2025
2025020128,COL,R,2025-10-25,0,2,{'default': 'Avalanche'},{'default': 'Bruins'},2,2,0,0,0,0,3,23,0,0,21:38,BOS,4,2025
2025020121,COL,H,2025-10-23,0,1,{'default': 'Avalanche'},{'default': 'Hurricanes'},1,-2,0,0,0,0,4,24,0,0,25:25,CAR,0,2025
2025020107,COL,R,2025-10-21,0,0,{'default': 'Avalanche'},{'default': 'Mammoth'},0,-1,0,0,0,0,8,28,0,0,20:51,UTA,0,2025
2025020085,COL,H,2025-10-18,2,0,{'default': 'Avalanche'},{'default': 'Bruins'},2,3,0,0,0,0,8,20,0,0,23:17,BOS,2,2025
2025020067,COL,R,2025-10-16,0,0,{'default': 'Avalanche'},{'default': 'Blue Jackets'},0,1,0,0,0,0,2,22,0,0,18:24,CBJ,0,2025
2025020039,COL,R,2025-10-13,2,0,{'default': 'Avalanche'},{'default': 'Sabres'},2,2,0,0,0,0,5,21,0,0,21:47,BUF,0,2025
2025020034,COL,H,2025-10-11,1,2,{'default': 'Avalanche'},{'default': 'Stars'},3,2,1,1,0,0,4,28,0,0,25:01,DAL,0,2025
2025020018,COL,H,2025-10-09,1,0,{'default': 'Avalanche'},{'default': 'Mammoth'},1,0,1,1,1,0,4,22,0,0,21:16,UTA,0,2025
2025020003,COL,R,2025-10-07,0,2,{'default': 'Avalanche'},{'default': 'Kings'},2,2,0,0,0,0,2,22,0,0,20:47,LAK,2,2025
2024021244,COL,H,2025-04-08,0,1,{'default': 'Avalanche'},{'default': 'Golden Knights'},1,-1,0,1,0,0,6,24,0,0,25:56,VGK,0,2024
2024021218,COL,R,2025-04-05,1,0,{'default': 'Avalanche'},{'default': 'Blues'},1,-2,0,0,0,0,7,24,0,0,25:29,STL,0,2024
2024021199,COL,R,2025-04-03,1,2,{'default': 'Avalanche'},{'default': 'Blue Jackets'},3,0,0,1,0,0,2,22,0,0,17:31,CBJ,0,2024
2024021195,COL,R,2025-04-02,0,1,{'default': 'Avalanche'},{'default': 'Blackhawks'},1,1,0,0,0,0,6,26,0,0,28:18,CHI,2,2024
2024021180,COL,H,2025-03-31,0,1,{'default': 'Avalanche'},{'default': 'Flames'},1,0,0,0,0,0,3,27,0,0,23:28,CGY,0,2024
2024021161,COL,H,2025-03-29,1,0,{'default': 'Avalanche'},{'default': 'Blues'},1,0,0,0,0,0,4,24,0,0,22:03,STL,2,2024
2024021149,COL,H,2025-03-27,0,1,{'default': 'Avalanche'},{'default': 'Kings'},1,0,0,1,0,0,2,22,0,0,20:54,LAK,2,2024
2024021136,COL,H,2025-03-25,1,1,{'default': 'Avalanche'},{'default': 'Red Wings'},2,2,1,1,0,0,1,22,0,0,18:24,DET,2,2024
2024021112,COL,R,2025-03-22,0,0,{'default': 'Avalanche'},{'default': 'Canadiens'},0,-2,0,0,0,0,6,25,0,0,22:09,MTL,2,2024
2024021089,COL,R,2025-03-20,1,0,{'default': 'Avalanche'},"{'default': 'Senators', 'fr': 'Sénateurs'}",1,1,0,0,0,0,3,19,0,0,17:33,OTT,0,2024
2024021087,COL,R,2025-03-19,0,1,{'default': 'Avalanche'},{'default': 'Maple Leafs'},1,-1,0,1,0,0,6,27,0,0,23:26,TOR,0,2024
2024021067,COL,H,2025-03-16,0,1,{'default': 'Avalanche'},{'default': 'Stars'},1,1,0,0,0,0,4,25,0,0,22:20,DAL,0,2024
2024021052,COL,R,2025-03-14,0,0,{'default': 'Avalanche'},{'default': 'Flames'},0,1,0,0,0,0,2,24,0,0,19:57,CGY,0,2024
2024021030,COL,R,2025-03-11,0,0,{'default': 'Avalanche'},{'default': 'Wild'},0,-1,0,0,0,0,2,24,0,0,25:37,MIN,0,2024
2024021023,COL,H,2025-03-10,0,2,{'default': 'Avalanche'},{'default': 'Blackhawks'},2,2,0,0,0,0,6,24,0,0,23:58,CHI,0,2024
2024021007,COL,H,2025-03-08,2,0,{'default': 'Avalanche'},{'default': 'Maple Leafs'},2,1,1,1,1,0,3,26,0,0,25:28,TOR,0,2024
2024020996,COL,H,2025-03-06,2,3,{'default': 'Avalanche'},{'default': 'Sharks'},5,3,0,2,0,0,8,17,0,0,18:03,SJS,0,2024
2024020980,COL,H,2025-03-04,0,2,{'default': 'Avalanche'},{'default': 'Penguins'},2,1,0,1,0,0,2,23,0,0,21:00,PIT,0,2024
2024020947,COL,H,2025-02-28,0,1,{'default': 'Avalanche'},{'default': 'Wild'},1,0,0,1,0,0,2,21,0,0,21:17,MIN,2,2024
2024020931,COL,H,2025-02-26,2,1,{'default': 'Avalanche'},{'default': 'Devils'},3,1,2,2,1,0,7,21,0,0,21:12,NJD,0,2024
2024020910,COL,R,2025-02-23,0,0,{'default': 'Avalanche'},{'default': 'Blues'},0,0,0,0,0,0,3,21,0,0,20:48,STL,0,2024
2024020898,COL,R,2025-02-22,0,0,{'default': 'Avalanche'},{'default': 'Predators'},0,-1,0,0,0,0,8,24,0,0,21:00,NSH,0,2024
2024020874,COL,R,2025-02-07,1,3,{'default': 'Avalanche'},{'default': 'Oilers'},4,2,1,1,0,0,7,24,0,0,22:18,EDM,0,2024
2024020868,COL,R,2025-02-06,0,3,{'default': 'Avalanche'},{'default': 'Flames'},3,2,0,1,0,0,2,25,0,0,22:47,CGY,2,2024
2024020855,COL,R,2025-02-04,0,0,{'default': 'Avalanche'},{'default': 'Canucks'},0,-1,0,0,0,0,5,20,0,0,21:45,VAN,0,2024
2024020836,COL,H,2025-02-02,1,0,{'default': 'Avalanche'},{'default': 'Flyers'},1,0,1,1,0,0,4,22,0,0,24:27,PHI,0,2024
2024020824,COL,H,2025-01-31,0,1,{'default': 'Avalanche'},{'default': 'Blues'},1,1,0,1,0,0,4,19,0,0,20:30,STL,0,2024
2024020803,COL,R,2025-01-28,0,1,{'default': 'Avalanche'},{'default': 'Islanders'},1,0,0,0,0,0,7,27,0,0,23:53,NYI,0,2024
2024020789,COL,R,2025-01-26,0,2,{'default': 'Avalanche'},{'default': 'Rangers'},2,-1,0,1,0,0,1,21,0,0,18:35,NYR,0,2024
2024020776,COL,R,2025-01-25,0,0,{'default': 'Avalanche'},{'default': 'Bruins'},0,-1,0,0,0,0,8,23,0,0,23:48,BOS,0,2024
