gameId,teamAbbrev,homeRoadFlag,gameDate,goals,assists,commonName,opponentCommonName,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,shorthandedGoals,shorthandedPoints,opponentAbbrev,pim,toi,season
2025020816,STL,H,2026-01-24,0,0,{'default': 'Blues'},{'default': 'Kings'},0,-2,0,0,0,0,2,14,0,0,LAK,5,9:26,2025
2025020804,STL,R,2026-01-23,0,0,{'default': 'Blues'},{'default': 'Stars'},0,0,0,0,0,0,1,17,0,0,DAL,0,13:21,2025
2025020785,STL,R,2026-01-20,0,0,{'default': 'Blues'},{'default': 'Jets'},0,0,0,0,0,0,0,17,0,0,WPG,0,11:38,2025
2025020769,STL,R,2026-01-18,0,0,{'default': 'Blues'},{'default': 'Oilers'},0,-2,0,0,0,0,2,20,0,0,EDM,0,14:40,2025
2025020751,STL,H,2026-01-16,1,0,{'default': 'Blues'},{'default': 'Lightning'},1,1,0,0,0,0,1,24,0,0,TBL,0,13:46,2025
2025020730,STL,H,2026-01-13,1,0,{'default': 'Blues'},{'default': 'Hurricanes'},1,1,0,0,1,0,3,16,1,1,CAR,0,10:56,2025
2025020472,STL,H,2025-12-09,0,0,{'default': 'Blues'},{'default': 'Bruins'},0,0,0,0,0,0,1,11,0,0,BOS,2,7:31,2025
2025020457,STL,R,2025-12-07,0,0,{'default': 'Blues'},{'default': 'Canadiens'},0,0,0,0,0,0,1,20,0,0,MTL,0,13:26,2025
2025020445,STL,R,2025-12-06,0,0,{'default': 'Blues'},"{'default': 'Senators', 'fr': 'Sénateurs'}",0,0,0,0,0,0,0,19,0,0,OTT,0,13:36,2025
2025020426,STL,R,2025-12-04,0,0,{'default': 'Blues'},{'default': 'Bruins'},0,-2,0,0,0,0,3,18,0,0,BOS,0,12:53,2025
2025020409,STL,H,2025-12-01,0,0,{'default': 'Blues'},{'default': 'Ducks'},0,-1,0,0,0,0,1,17,0,0,ANA,0,13:41,2025
2025020398,STL,H,2025-11-29,0,0,{'default': 'Blues'},{'default': 'Mammoth'},0,0,0,0,0,0,1,16,0,0,UTA,0,12:00,2025
2025020336,STL,R,2025-11-22,0,0,{'default': 'Blues'},{'default': 'Islanders'},0,0,0,0,0,0,1,14,0,0,NYI,0,10:46,2025
2025020292,STL,H,2025-11-15,0,0,{'default': 'Blues'},{'default': 'Golden Knights'},0,0,0,0,0,0,2,19,0,0,VGK,2,13:27,2025
2025020260,STL,H,2025-11-11,0,0,{'default': 'Blues'},{'default': 'Flames'},0,0,0,0,0,0,2,15,0,0,CGY,0,11:18,2025
2025020239,STL,H,2025-11-08,0,0,{'default': 'Blues'},{'default': 'Kraken'},0,-1,0,0,0,0,1,17,0,0,SEA,0,13:38,2025
2025020219,STL,R,2025-11-06,1,0,{'default': 'Blues'},{'default': 'Sabres'},1,1,0,0,0,0,2,20,0,0,BUF,0,11:27,2025
2025020214,STL,R,2025-11-05,0,0,{'default': 'Blues'},{'default': 'Capitals'},0,-1,0,0,0,0,2,15,0,0,WSH,0,12:44,2025
2025020200,STL,H,2025-11-03,0,0,{'default': 'Blues'},{'default': 'Oilers'},0,0,0,0,0,0,2,18,0,0,EDM,0,12:28,2025
2025020189,STL,R,2025-11-01,1,0,{'default': 'Blues'},{'default': 'Blue Jackets'},1,1,0,0,0,0,7,22,0,0,CBJ,2,14:16,2025
2025020172,STL,H,2025-10-30,0,0,{'default': 'Blues'},{'default': 'Canucks'},0,-1,0,0,0,0,2,10,0,0,VAN,0,7:52,2025
2025020158,STL,H,2025-10-28,0,0,{'default': 'Blues'},{'default': 'Red Wings'},0,0,0,0,0,0,4,16,0,0,DET,0,13:32,2025
2025020148,STL,R,2025-10-27,1,1,{'default': 'Blues'},{'default': 'Penguins'},2,0,0,0,0,0,1,19,0,0,PIT,2,13:29,2025
2025020133,STL,R,2025-10-25,0,0,{'default': 'Blues'},{'default': 'Red Wings'},0,0,0,0,0,0,0,19,0,0,DET,2,9:35,2025
2025020117,STL,H,2025-10-23,0,0,{'default': 'Blues'},{'default': 'Mammoth'},0,1,0,0,0,0,1,18,0,0,UTA,0,9:51,2025
