gameId,teamAbbrev,homeRoadFlag,gameDate,goals,assists,commonName,opponentCommonName,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,shorthandedGoals,shorthandedPoints,toi,opponentAbbrev,pim,season
2025020722,CHI,H,2026-01-12,0,0,{'default': 'Blackhawks'},{'default': 'Oilers'},0,-1,0,0,0,0,0,12,0,0,10:47,EDM,0,2025
2025020707,CHI,R,2026-01-10,0,0,{'default': 'Blackhawks'},{'default': 'Predators'},0,0,0,0,0,0,0,15,0,0,11:29,NSH,0,2025
2025020694,CHI,H,2026-01-09,0,0,{'default': 'Blackhawks'},{'default': 'Capitals'},0,0,0,0,0,0,1,19,0,0,13:53,WSH,0,2025
2025020679,CHI,H,2026-01-07,0,1,{'default': 'Blackhawks'},{'default': 'Blues'},1,0,0,1,0,0,0,14,0,0,12:58,STL,0,2025
2025020661,CHI,H,2026-01-04,0,0,{'default': 'Blackhawks'},{'default': 'Golden Knights'},0,0,0,0,0,0,0,20,0,0,16:09,VGK,0,2025
2025020652,CHI,R,2026-01-03,0,0,{'default': 'Blackhawks'},{'default': 'Capitals'},0,0,0,0,0,0,0,16,0,0,10:27,WSH,0,2025
2025020637,CHI,H,2026-01-01,0,0,{'default': 'Blackhawks'},{'default': 'Stars'},0,-1,0,0,0,0,1,19,0,0,16:29,DAL,0,2025
2025020620,CHI,H,2025-12-30,0,0,{'default': 'Blackhawks'},{'default': 'Islanders'},0,-1,0,0,0,0,2,24,0,0,18:31,NYI,2,2025
2025020604,CHI,H,2025-12-28,1,0,{'default': 'Blackhawks'},{'default': 'Penguins'},1,0,0,0,0,0,3,18,0,0,13:02,PIT,0,2025
2025020291,CHI,H,2025-11-15,0,0,{'default': 'Blackhawks'},{'default': 'Maple Leafs'},0,1,0,0,0,0,3,13,0,0,10:41,TOR,0,2025
2025020268,CHI,H,2025-11-12,0,2,{'default': 'Blackhawks'},{'default': 'Devils'},2,2,0,0,0,0,1,18,0,0,12:03,NJD,0,2025
2025020244,CHI,R,2025-11-09,0,0,{'default': 'Blackhawks'},{'default': 'Red Wings'},0,0,0,0,0,0,0,26,0,0,17:30,DET,0,2025
2025020229,CHI,R,2025-11-07,0,0,{'default': 'Blackhawks'},{'default': 'Flames'},0,0,0,0,0,0,1,21,0,0,12:08,CGY,7,2025
2025020216,CHI,R,2025-11-05,0,0,{'default': 'Blackhawks'},{'default': 'Canucks'},0,2,0,0,0,0,0,18,0,0,12:56,VAN,0,2025
2025020202,CHI,R,2025-11-03,0,0,{'default': 'Blackhawks'},{'default': 'Kraken'},0,-1,0,0,0,0,4,17,0,0,12:15,SEA,0,2025
2025020192,CHI,R,2025-11-01,0,0,{'default': 'Blackhawks'},{'default': 'Oilers'},0,0,0,0,0,0,0,20,0,0,13:47,EDM,0,2025
2025020174,CHI,R,2025-10-30,0,0,{'default': 'Blackhawks'},{'default': 'Jets'},0,-1,0,0,0,0,0,20,0,0,15:07,WPG,0,2025
2025020160,CHI,H,2025-10-28,0,2,{'default': 'Blackhawks'},"{'default': 'Senators', 'fr': 'Sénateurs'}",2,2,0,0,0,0,0,20,0,1,13:42,OTT,0,2025
2025020144,CHI,H,2025-10-26,0,0,{'default': 'Blackhawks'},{'default': 'Kings'},0,-1,0,0,0,0,2,20,0,0,15:54,LAK,0,2025
2025020113,CHI,R,2025-10-23,0,0,{'default': 'Blackhawks'},{'default': 'Lightning'},0,-1,0,0,0,0,1,26,0,0,16:17,TBL,2,2025
2025020048,CHI,H,2025-10-13,0,1,{'default': 'Blackhawks'},{'default': 'Mammoth'},1,0,0,1,0,0,1,17,0,0,13:44,UTA,0,2025
2025020031,CHI,H,2025-10-11,0,0,{'default': 'Blackhawks'},{'default': 'Canadiens'},0,-1,0,0,0,0,1,25,0,0,15:31,MTL,0,2025
2025020008,CHI,R,2025-10-09,0,1,{'default': 'Blackhawks'},{'default': 'Bruins'},1,1,0,0,0,0,2,26,0,0,15:57,BOS,2,2025
2025020001,CHI,R,2025-10-07,0,0,{'default': 'Blackhawks'},{'default': 'Panthers'},0,-1,0,0,0,0,0,21,0,0,11:48,FLA,5,2025
2024021293,CHI,R,2025-04-15,0,1,{'default': 'Blackhawks'},"{'default': 'Senators', 'fr': 'Sénateurs'}",1,1,0,0,0,0,1,17,0,0,13:10,OTT,0,2024
2024021285,CHI,R,2025-04-14,0,0,{'default': 'Blackhawks'},{'default': 'Canadiens'},0,0,0,0,0,0,1,21,0,0,15:44,MTL,2,2024
2024021271,CHI,H,2025-04-12,1,0,{'default': 'Blackhawks'},{'default': 'Jets'},1,0,0,0,0,0,3,20,1,1,16:01,WPG,0,2024
2024021250,CHI,R,2025-04-10,2,0,{'default': 'Blackhawks'},{'default': 'Bruins'},2,2,0,0,0,0,3,20,1,1,14:05,BOS,0,2024
2024021240,CHI,R,2025-04-08,0,0,{'default': 'Blackhawks'},{'default': 'Penguins'},0,-1,0,0,0,0,1,17,0,0,12:41,PIT,0,2024
2024021227,CHI,H,2025-04-06,0,1,{'default': 'Blackhawks'},{'default': 'Penguins'},1,1,0,0,0,0,1,21,0,0,15:41,PIT,0,2024
2024021207,CHI,R,2025-04-04,0,0,{'default': 'Blackhawks'},{'default': 'Capitals'},0,-1,0,0,0,0,0,18,0,0,13:37,WSH,0,2024
2024021195,CHI,H,2025-04-02,0,0,{'default': 'Blackhawks'},{'default': 'Avalanche'},0,1,0,0,0,0,2,20,0,0,14:52,COL,2,2024
2024021173,CHI,H,2025-03-30,0,1,{'default': 'Blackhawks'},"{'default': 'Utah Hockey Club', 'fr': ""Club de hockey de l'Utah""}",1,-1,0,0,0,0,0,17,0,0,12:40,UTA,0,2024
2024021157,CHI,H,2025-03-28,0,0,{'default': 'Blackhawks'},{'default': 'Golden Knights'},0,0,0,0,0,0,0,22,0,0,17:42,VGK,0,2024
2024021140,CHI,H,2025-03-26,0,1,{'default': 'Blackhawks'},{'default': 'Devils'},1,1,0,0,0,0,1,19,0,0,14:55,NJD,0,2024
2024021118,CHI,H,2025-03-23,0,1,{'default': 'Blackhawks'},{'default': 'Flyers'},1,-1,0,0,0,0,0,22,0,0,14:25,PHI,0,2024
2024021107,CHI,R,2025-03-22,0,0,{'default': 'Blackhawks'},{'default': 'Blues'},0,-1,0,0,0,0,1,20,0,0,17:16,STL,0,2024
2024021098,CHI,H,2025-03-20,0,0,{'default': 'Blackhawks'},{'default': 'Kings'},0,-1,0,0,0,0,1,18,0,0,13:42,LAK,0,2024
2024021084,CHI,H,2025-03-18,0,0,{'default': 'Blackhawks'},{'default': 'Kraken'},0,-1,0,0,0,0,6,19,0,0,15:40,SEA,0,2024
2024021065,CHI,R,2025-03-15,0,0,{'default': 'Blackhawks'},{'default': 'Canucks'},0,-1,0,0,0,0,0,20,0,0,16:17,VAN,0,2024
2024021048,CHI,R,2025-03-13,0,1,{'default': 'Blackhawks'},{'default': 'Sharks'},1,0,0,0,0,0,2,17,0,0,13:59,SJS,0,2024
2024021023,CHI,R,2025-03-10,0,0,{'default': 'Blackhawks'},{'default': 'Avalanche'},0,-1,0,0,0,0,1,20,0,0,16:19,COL,0,2024
2024021009,CHI,R,2025-03-08,0,0,{'default': 'Blackhawks'},{'default': 'Predators'},0,-1,0,0,0,0,1,20,0,0,12:48,NSH,0,2024
2024020999,CHI,H,2025-03-07,0,0,{'default': 'Blackhawks'},"{'default': 'Utah Hockey Club', 'fr': ""Club de hockey de l'Utah""}",0,0,0,0,0,0,1,24,0,0,18:44,UTA,0,2024
2024020943,CHI,R,2025-02-27,1,0,{'default': 'Blackhawks'},{'default': 'Golden Knights'},1,1,0,0,0,0,2,7,0,0,6:40,VGK,0,2024
2024020929,CHI,R,2025-02-25,0,0,{'default': 'Blackhawks'},"{'default': 'Utah Hockey Club', 'fr': ""Club de hockey de l'Utah""}",0,-1,0,0,0,0,2,24,0,0,17:46,UTA,0,2024
2024020912,CHI,H,2025-02-23,0,0,{'default': 'Blackhawks'},{'default': 'Maple Leafs'},0,0,0,0,0,0,1,21,0,0,16:26,TOR,0,2024
2024020902,CHI,R,2025-02-22,0,0,{'default': 'Blackhawks'},{'default': 'Blue Jackets'},0,-1,0,0,0,0,2,16,0,0,13:55,CBJ,7,2024
2024020883,CHI,R,2025-02-08,0,2,{'default': 'Blackhawks'},{'default': 'Blues'},2,3,0,0,0,0,1,24,0,0,17:28,STL,0,2024
2024020873,CHI,H,2025-02-07,0,0,{'default': 'Blackhawks'},{'default': 'Predators'},0,0,0,0,0,0,4,19,0,0,16:47,NSH,0,2024
2024020860,CHI,H,2025-02-05,0,0,{'default': 'Blackhawks'},{'default': 'Oilers'},0,-2,0,0,0,0,0,23,0,0,16:33,EDM,0,2024
2024020826,CHI,R,2025-02-01,0,0,{'default': 'Blackhawks'},{'default': 'Panthers'},0,1,0,0,0,0,0,19,0,0,12:52,FLA,0,2024
2024020817,CHI,R,2025-01-30,0,1,{'default': 'Blackhawks'},{'default': 'Hurricanes'},1,1,0,0,0,0,0,17,0,0,14:09,CAR,2,2024
2024020801,CHI,R,2025-01-28,0,1,{'default': 'Blackhawks'},{'default': 'Lightning'},1,1,0,1,0,0,0,15,0,0,12:33,TBL,7,2024
2024020792,CHI,H,2025-01-26,0,0,{'default': 'Blackhawks'},{'default': 'Wild'},0,-1,0,0,0,0,0,19,0,0,12:47,MIN,4,2024
2024020773,CHI,H,2025-01-24,0,1,{'default': 'Blackhawks'},{'default': 'Lightning'},1,0,0,0,0,0,1,20,0,0,14:04,TBL,0,2024
2024020746,CHI,H,2025-01-20,0,0,{'default': 'Blackhawks'},{'default': 'Hurricanes'},0,-1,0,0,0,0,1,22,0,0,13:57,CAR,2,2024
2024020732,CHI,H,2025-01-18,0,1,{'default': 'Blackhawks'},{'default': 'Golden Knights'},1,1,0,0,0,0,1,25,0,0,16:34,VGK,0,2024
2024020714,CHI,R,2025-01-16,0,0,{'default': 'Blackhawks'},{'default': 'Predators'},0,0,0,0,0,0,1,27,0,0,14:58,NSH,0,2024
2024020690,CHI,H,2025-01-13,0,0,{'default': 'Blackhawks'},{'default': 'Flames'},0,0,0,0,0,0,2,20,0,0,16:18,CGY,0,2024
2024020676,CHI,H,2025-01-11,1,1,{'default': 'Blackhawks'},{'default': 'Oilers'},2,2,0,0,0,0,4,20,0,0,18:49,EDM,0,2024
2024020664,CHI,R,2025-01-10,0,0,{'default': 'Blackhawks'},{'default': 'Red Wings'},0,-1,0,0,0,0,0,20,0,0,15:59,DET,0,2024
2024020651,CHI,H,2025-01-08,0,0,{'default': 'Blackhawks'},{'default': 'Avalanche'},0,0,0,0,0,0,0,25,0,0,18:27,COL,0,2024
2024020632,CHI,H,2025-01-05,0,0,{'default': 'Blackhawks'},{'default': 'Rangers'},0,-1,0,0,0,0,1,18,0,0,17:04,NYR,0,2024
2024020616,CHI,H,2025-01-03,2,0,{'default': 'Blackhawks'},{'default': 'Canadiens'},2,1,0,0,0,0,3,21,0,0,18:22,MTL,0,2024
2024020592,CHI,H,2024-12-31,0,0,{'default': 'Blackhawks'},{'default': 'Blues'},0,-1,0,0,0,0,1,16,0,0,15:18,STL,5,2024
2024020577,CHI,H,2024-12-29,0,0,{'default': 'Blackhawks'},{'default': 'Stars'},0,-1,0,0,0,0,0,22,0,0,17:11,DAL,0,2024
2024020558,CHI,R,2024-12-27,0,0,{'default': 'Blackhawks'},{'default': 'Sabres'},0,-2,0,0,0,0,1,15,0,0,13:57,BUF,0,2024
2024020554,CHI,R,2024-12-23,1,0,{'default': 'Blackhawks'},{'default': 'Wild'},1,0,0,0,0,0,2,20,0,0,16:35,MIN,0,2024
2024020529,CHI,R,2024-12-21,0,1,{'default': 'Blackhawks'},{'default': 'Flames'},1,-1,0,0,0,0,2,26,0,0,18:22,CGY,2,2024
2024020516,CHI,H,2024-12-19,0,0,{'default': 'Blackhawks'},{'default': 'Kraken'},0,0,0,0,0,0,4,23,0,0,16:40,SEA,0,2024
2024020503,CHI,H,2024-12-17,0,0,{'default': 'Blackhawks'},{'default': 'Capitals'},0,-1,0,0,0,0,0,21,0,0,16:40,WSH,2,2024
2024020474,CHI,R,2024-12-14,0,1,{'default': 'Blackhawks'},{'default': 'Devils'},1,-1,0,0,0,0,0,21,0,0,13:42,NJD,0,2024
2024020464,CHI,R,2024-12-12,0,1,{'default': 'Blackhawks'},{'default': 'Islanders'},1,1,0,0,0,0,1,22,0,0,16:15,NYI,0,2024
2024020444,CHI,R,2024-12-09,0,0,{'default': 'Blackhawks'},{'default': 'Rangers'},0,0,0,0,0,0,1,22,0,0,15:35,NYR,0,2024
2024020427,CHI,H,2024-12-07,0,0,{'default': 'Blackhawks'},{'default': 'Jets'},0,-2,0,0,0,0,1,23,0,0,16:24,WPG,0,2024
2024020407,CHI,H,2024-12-04,0,1,{'default': 'Blackhawks'},{'default': 'Bruins'},1,1,0,0,0,0,1,25,0,0,16:24,BOS,0,2024
2024020394,CHI,R,2024-12-02,0,0,{'default': 'Blackhawks'},{'default': 'Maple Leafs'},0,-1,0,0,0,0,1,19,0,0,16:14,TOR,0,2024
2024020390,CHI,H,2024-12-01,1,0,{'default': 'Blackhawks'},{'default': 'Blue Jackets'},1,-3,1,1,0,0,1,20,0,0,17:17,CBJ,0,2024
2024020363,CHI,R,2024-11-29,0,0,{'default': 'Blackhawks'},{'default': 'Wild'},0,0,0,0,0,0,1,19,0,0,15:09,MIN,0,2024
2024020357,CHI,H,2024-11-27,0,0,{'default': 'Blackhawks'},{'default': 'Stars'},0,1,0,0,0,0,1,22,0,0,15:33,DAL,2,2024
2024020318,CHI,R,2024-11-23,0,0,{'default': 'Blackhawks'},{'default': 'Flyers'},0,-2,0,0,0,0,0,20,0,0,16:19,PHI,0,2024
2024020313,CHI,H,2024-11-21,1,1,{'default': 'Blackhawks'},{'default': 'Panthers'},2,1,0,0,0,0,2,21,0,0,17:08,FLA,0,2024
2024020298,CHI,H,2024-11-19,0,0,{'default': 'Blackhawks'},{'default': 'Ducks'},0,0,0,0,0,0,0,18,0,0,16:25,ANA,0,2024
2024020283,CHI,R,2024-11-16,0,1,{'default': 'Blackhawks'},{'default': 'Canucks'},1,0,0,0,0,0,3,18,0,0,15:37,VAN,0,2024
2024020266,CHI,R,2024-11-14,0,0,{'default': 'Blackhawks'},{'default': 'Kraken'},0,-1,0,0,0,0,1,20,0,0,17:34,SEA,0,2024
2024020237,CHI,H,2024-11-10,0,0,{'default': 'Blackhawks'},{'default': 'Wild'},0,0,0,0,0,0,0,19,0,0,15:23,MIN,2,2024
