gameId,teamAbbrev,homeRoadFlag,gameDate,goals,assists,commonName,opponentCommonName,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,shorthandedGoals,shorthandedPoints,toi,opponentAbbrev,pim,season
2025020719,PHI,H,2026-01-12,0,0,{'default': 'Flyers'},{'default': 'Lightning'},0,0,0,0,0,0,1,23,0,0,15:59,TBL,2,2025
2025020705,PHI,H,2026-01-10,0,0,{'default': 'Flyers'},{'default': 'Lightning'},0,-3,0,0,0,0,1,27,0,0,18:33,TBL,0,2025
2025020686,PHI,H,2026-01-08,0,0,{'default': 'Flyers'},{'default': 'Maple Leafs'},0,1,0,0,0,0,2,27,0,0,21:21,TOR,0,2025
2025020670,PHI,H,2026-01-06,0,0,{'default': 'Flyers'},{'default': 'Ducks'},0,0,0,0,0,0,0,24,0,0,17:41,ANA,0,2025
2025020647,PHI,R,2026-01-03,1,1,{'default': 'Flyers'},{'default': 'Oilers'},2,2,0,0,0,0,2,28,0,0,18:23,EDM,0,2025
2025020630,PHI,R,2025-12-31,0,0,{'default': 'Flyers'},{'default': 'Flames'},0,-2,0,0,0,0,3,27,0,0,14:38,CGY,2,2025
2025020621,PHI,R,2025-12-30,0,0,{'default': 'Flyers'},{'default': 'Canucks'},0,-1,0,0,0,0,1,25,0,0,17:49,VAN,5,2025
2025020605,PHI,R,2025-12-28,0,0,{'default': 'Flyers'},{'default': 'Kraken'},0,1,0,0,0,0,0,22,0,0,18:03,SEA,0,2025
2025020583,PHI,R,2025-12-23,0,0,{'default': 'Flyers'},{'default': 'Blackhawks'},0,0,0,0,0,0,2,24,0,0,19:16,CHI,0,2025
2025020572,PHI,H,2025-12-22,0,0,{'default': 'Flyers'},{'default': 'Canucks'},0,0,0,0,0,0,3,23,0,0,17:41,VAN,0,2025
2025020549,PHI,R,2025-12-20,0,0,{'default': 'Flyers'},{'default': 'Rangers'},0,0,0,0,0,0,2,28,0,0,17:15,NYR,2,2025
2025020535,PHI,R,2025-12-18,0,0,{'default': 'Flyers'},{'default': 'Sabres'},0,-1,0,0,0,0,0,23,0,0,19:07,BUF,0,2025
2025020521,PHI,R,2025-12-16,0,0,{'default': 'Flyers'},{'default': 'Canadiens'},0,1,0,0,0,0,0,25,0,0,17:34,MTL,0,2025
