gameId,teamAbbrev,homeRoadFlag,gameDate,goals,assists,commonName,opponentCommonName,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,shorthandedGoals,shorthandedPoints,toi,opponentAbbrev,pim,season
2025020762,TOR,R,2026-01-17,0,0,{'default': 'Maple Leafs'},{'default': 'Jets'},0,0,0,0,0,0,1,17,0,0,13:21,WPG,0,2025
2025020748,TOR,R,2026-01-15,0,0,{'default': 'Maple Leafs'},{'default': 'Golden Knights'},0,0,0,0,0,0,1,24,0,0,14:37,VGK,0,2025
2025020733,TOR,R,2026-01-13,0,0,{'default': 'Maple Leafs'},{'default': 'Mammoth'},0,-1,0,0,0,0,1,18,0,0,13:28,UTA,0,2025
2025020723,TOR,R,2026-01-12,0,0,{'default': 'Maple Leafs'},{'default': 'Avalanche'},0,1,0,0,0,0,1,21,0,0,12:14,COL,0,2025
2025020702,TOR,H,2026-01-10,0,0,{'default': 'Maple Leafs'},{'default': 'Canucks'},0,0,0,0,0,0,1,18,0,0,14:32,VAN,0,2025
2025020686,TOR,R,2026-01-08,0,0,{'default': 'Maple Leafs'},{'default': 'Flyers'},0,0,0,0,0,0,1,18,0,0,13:31,PHI,0,2025
2025020672,TOR,H,2026-01-06,0,2,{'default': 'Maple Leafs'},{'default': 'Panthers'},2,2,0,0,0,0,0,20,0,0,14:51,FLA,0,2025
2025020651,TOR,R,2026-01-03,0,1,{'default': 'Maple Leafs'},{'default': 'Islanders'},1,1,0,0,0,0,2,18,0,0,11:42,NYI,0,2025
2025020634,TOR,H,2026-01-01,0,0,{'default': 'Maple Leafs'},{'default': 'Jets'},0,0,0,0,0,0,1,17,0,0,14:11,WPG,0,2025
2025020617,TOR,H,2025-12-30,1,1,{'default': 'Maple Leafs'},{'default': 'Devils'},2,2,0,0,0,0,2,25,0,0,18:04,NJD,0,2025
2025020601,TOR,R,2025-12-28,0,0,{'default': 'Maple Leafs'},{'default': 'Red Wings'},0,-1,0,0,0,0,0,20,0,0,15:52,DET,0,2025
2025020590,TOR,H,2025-12-27,0,1,{'default': 'Maple Leafs'},"{'default': 'Senators', 'fr': 'Sénateurs'}",1,0,0,0,0,0,0,19,0,0,12:54,OTT,0,2025
2025020575,TOR,H,2025-12-23,0,0,{'default': 'Maple Leafs'},{'default': 'Penguins'},0,-1,0,0,0,0,0,13,0,0,9:50,PIT,0,2025
2025020568,TOR,R,2025-12-21,0,0,{'default': 'Maple Leafs'},{'default': 'Stars'},0,0,0,0,0,0,1,21,0,0,16:58,DAL,0,2025
2025020558,TOR,R,2025-12-20,1,0,{'default': 'Maple Leafs'},{'default': 'Predators'},1,2,0,0,0,0,2,21,0,0,15:54,NSH,0,2025
2025020539,TOR,R,2025-12-18,0,0,{'default': 'Maple Leafs'},{'default': 'Capitals'},0,0,0,0,0,0,2,23,0,0,17:50,WSH,0,2025
