gameId,teamAbbrev,homeRoadFlag,gameDate,goals,assists,commonName,opponentCommonName,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,shorthandedGoals,shorthandedPoints,toi,opponentAbbrev,pim,season
2025020701,ANA,R,2026-01-10,0,0,{'default': 'Ducks'},{'default': 'Sabres'},0,-1,0,0,0,0,1,17,0,0,10:47,BUF,0,2025
2025020663,ANA,R,2026-01-05,0,0,{'default': 'Ducks'},{'default': 'Capitals'},0,-3,0,0,0,0,3,16,0,0,12:25,WSH,0,2025
2025020643,ANA,H,2026-01-02,0,0,{'default': 'Ducks'},{'default': 'Wild'},0,0,0,0,0,0,0,19,0,0,14:47,MIN,0,2025
2025020624,ANA,H,2025-12-31,0,0,{'default': 'Ducks'},{'default': 'Lightning'},0,0,0,0,0,0,1,18,0,0,13:24,TBL,0,2025
2025020615,ANA,H,2025-12-29,0,1,{'default': 'Ducks'},{'default': 'Sharks'},1,0,0,0,0,0,3,15,0,0,12:39,SJS,0,2025
2025020403,ANA,R,2025-11-30,0,0,{'default': 'Ducks'},{'default': 'Blackhawks'},0,-1,0,0,0,0,0,14,0,0,9:48,CHI,0,2025
2025020384,ANA,H,2025-11-28,0,0,{'default': 'Ducks'},{'default': 'Kings'},0,0,0,0,0,0,1,19,0,0,14:03,LAK,0,2025
2025020374,ANA,H,2025-11-26,0,0,{'default': 'Ducks'},{'default': 'Canucks'},0,0,0,0,0,0,3,16,0,0,11:22,VAN,2,2025
2025020346,ANA,H,2025-11-22,0,0,{'default': 'Ducks'},{'default': 'Golden Knights'},0,-1,0,0,0,0,0,14,0,0,7:49,VGK,0,2025
2025020329,ANA,H,2025-11-20,0,0,{'default': 'Ducks'},"{'default': 'Senators', 'fr': 'Sénateurs'}",0,0,0,0,0,0,1,19,0,0,11:53,OTT,0,2025
2025020318,ANA,H,2025-11-19,0,1,{'default': 'Ducks'},{'default': 'Bruins'},1,0,0,0,0,0,1,13,0,0,8:00,BOS,0,2025
2025020306,ANA,H,2025-11-17,0,0,{'default': 'Ducks'},{'default': 'Mammoth'},0,-1,0,0,0,0,1,13,0,0,9:35,UTA,0,2025
2025020284,ANA,R,2025-11-15,0,0,{'default': 'Ducks'},{'default': 'Wild'},0,0,0,0,0,0,1,19,0,0,12:04,MIN,4,2025
2025020272,ANA,R,2025-11-13,0,0,{'default': 'Ducks'},{'default': 'Red Wings'},0,0,0,0,0,0,0,16,0,0,10:11,DET,0,2025
2025020262,ANA,R,2025-11-11,0,0,{'default': 'Ducks'},{'default': 'Avalanche'},0,0,0,0,0,0,3,19,0,0,12:37,COL,0,2025
2025020251,ANA,H,2025-11-09,0,0,{'default': 'Ducks'},{'default': 'Jets'},0,-1,0,0,0,0,0,18,0,0,11:18,WPG,0,2025
2025020242,ANA,R,2025-11-08,0,0,{'default': 'Ducks'},{'default': 'Golden Knights'},0,0,0,0,0,0,2,21,0,0,14:18,VGK,0,2025
2025020224,ANA,R,2025-11-06,0,1,{'default': 'Ducks'},{'default': 'Stars'},1,0,0,0,0,0,0,19,0,0,11:30,DAL,2,2025
2025020211,ANA,H,2025-11-04,1,1,{'default': 'Ducks'},{'default': 'Panthers'},2,2,0,0,1,0,2,25,0,0,16:35,FLA,0,2025
2025020197,ANA,H,2025-11-02,0,0,{'default': 'Ducks'},{'default': 'Devils'},0,0,0,0,0,0,0,18,0,0,15:24,NJD,0,2025
2025020180,ANA,H,2025-10-31,0,0,{'default': 'Ducks'},{'default': 'Red Wings'},0,0,0,0,0,0,2,18,0,0,12:34,DET,0,2025
2025020153,ANA,R,2025-10-28,0,0,{'default': 'Ducks'},{'default': 'Panthers'},0,0,0,0,0,0,0,21,0,0,15:18,FLA,0,2025
2025020129,ANA,R,2025-10-25,0,0,{'default': 'Ducks'},{'default': 'Lightning'},0,1,0,0,0,0,0,22,0,0,15:27,TBL,0,2025
2025020111,ANA,R,2025-10-23,0,4,{'default': 'Ducks'},{'default': 'Bruins'},4,4,0,0,0,0,2,23,0,0,15:17,BOS,0,2025
2025020105,ANA,R,2025-10-21,0,0,{'default': 'Ducks'},{'default': 'Predators'},0,-1,0,0,0,0,3,19,0,0,16:29,NSH,0,2025
2025020070,ANA,H,2025-10-16,0,0,{'default': 'Ducks'},{'default': 'Hurricanes'},0,0,0,0,0,0,0,16,0,0,11:52,CAR,0,2025
2025020056,ANA,H,2025-10-14,0,0,{'default': 'Ducks'},{'default': 'Penguins'},0,0,0,0,0,0,0,16,0,0,10:37,PIT,0,2025
2025020036,ANA,R,2025-10-11,0,0,{'default': 'Ducks'},{'default': 'Sharks'},0,-1,0,0,0,0,0,10,0,0,5:57,SJS,0,2025
2024021284,ANA,H,2025-04-13,0,1,{'default': 'Ducks'},{'default': 'Avalanche'},1,-1,0,0,0,0,1,19,0,0,15:46,COL,0,2024
2024021259,ANA,R,2025-04-10,0,0,{'default': 'Ducks'},{'default': 'Kings'},0,0,0,0,0,0,1,13,0,0,10:40,LAK,0,2024
2024021249,ANA,H,2025-04-09,0,0,{'default': 'Ducks'},{'default': 'Flames'},0,0,0,0,0,0,0,8,0,0,4:59,CGY,0,2024
2024021232,ANA,H,2025-04-07,0,0,{'default': 'Ducks'},{'default': 'Oilers'},0,0,0,0,0,0,0,9,0,0,8:06,EDM,0,2024
2024021212,ANA,R,2025-04-05,0,0,{'default': 'Ducks'},{'default': 'Canucks'},0,-1,0,0,0,0,2,15,0,0,10:25,VAN,0,2024
2024021190,ANA,H,2025-04-01,0,0,{'default': 'Ducks'},{'default': 'Sharks'},0,-2,0,0,0,0,0,13,0,0,10:27,SJS,0,2024
2024021176,ANA,H,2025-03-30,0,0,{'default': 'Ducks'},{'default': 'Maple Leafs'},0,-2,0,0,0,0,2,13,0,0,11:03,TOR,0,2024
2024021158,ANA,H,2025-03-28,0,0,{'default': 'Ducks'},{'default': 'Rangers'},0,-1,0,0,0,0,0,12,0,0,8:41,NYR,0,2024
2024021142,ANA,H,2025-03-26,1,0,{'default': 'Ducks'},{'default': 'Bruins'},1,1,0,0,0,0,2,16,0,0,11:00,BOS,2,2024
2024021123,ANA,H,2025-03-23,0,0,{'default': 'Ducks'},{'default': 'Hurricanes'},0,0,0,0,0,0,3,15,0,0,10:37,CAR,0,2024
2024021083,ANA,R,2025-03-18,1,0,{'default': 'Ducks'},{'default': 'Stars'},1,1,0,0,0,0,2,17,0,0,13:08,DAL,0,2024
2024021068,ANA,R,2025-03-16,1,0,{'default': 'Ducks'},{'default': 'Blues'},1,1,0,0,0,0,1,14,0,0,11:20,STL,0,2024
2024021053,ANA,H,2025-03-14,0,0,{'default': 'Ducks'},{'default': 'Predators'},0,0,0,0,0,0,1,16,0,0,13:16,NSH,0,2024
2024020756,ANA,H,2025-01-21,0,0,{'default': 'Ducks'},{'default': 'Panthers'},0,0,0,0,0,0,1,12,0,0,8:11,FLA,0,2024
2024020725,ANA,R,2025-01-18,0,0,{'default': 'Ducks'},{'default': 'Panthers'},0,0,0,0,0,0,1,14,0,0,10:45,FLA,0,2024
