gameId,teamAbbrev,homeRoadFlag,gameDate,goals,assists,commonName,opponentCommonName,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,shorthandedGoals,shorthandedPoints,toi,opponentAbbrev,pim,season
2025021108,BOS,R,2026-03-21,1,0,{'default': 'Bruins'},{'default': 'Red Wings'},1,2,0,0,1,0,1,22,0,0,21:52,DET,0,2025
2025021083,BOS,H,2026-03-19,0,0,{'default': 'Bruins'},{'default': 'Jets'},0,2,0,0,0,0,1,24,0,0,19:33,WPG,0,2025
2025021069,BOS,R,2026-03-17,0,0,{'default': 'Bruins'},{'default': 'Canadiens'},0,-1,0,0,0,0,1,23,0,0,17:07,MTL,0,2025
2025021064,BOS,R,2026-03-16,0,0,{'default': 'Bruins'},{'default': 'Devils'},0,1,0,0,0,0,2,22,0,0,20:07,NJD,0,2025
2025021044,BOS,R,2026-03-14,0,0,{'default': 'Bruins'},{'default': 'Capitals'},0,-2,0,0,0,0,0,24,0,0,17:51,WSH,2,2025
2025021027,BOS,H,2026-03-12,0,0,{'default': 'Bruins'},{'default': 'Sharks'},0,0,0,0,0,0,4,23,0,0,15:59,SJS,0,2025
2025021012,BOS,H,2026-03-10,0,0,{'default': 'Bruins'},{'default': 'Kings'},0,0,0,0,0,0,1,21,0,0,17:37,LAK,5,2025
2025021002,BOS,R,2026-03-08,0,0,{'default': 'Bruins'},{'default': 'Penguins'},0,-1,0,0,0,0,2,20,0,0,20:02,PIT,0,2025
2025020990,BOS,H,2026-03-07,0,0,{'default': 'Bruins'},{'default': 'Capitals'},0,0,0,0,0,0,2,21,0,0,18:46,WSH,2,2025
2025020979,BOS,R,2026-03-05,0,0,{'default': 'Bruins'},{'default': 'Predators'},0,-1,0,0,0,0,3,24,0,0,20:04,NSH,0,2025
2025020959,BOS,H,2026-03-03,0,1,{'default': 'Bruins'},{'default': 'Penguins'},1,1,0,0,0,0,5,23,0,0,19:33,PIT,0,2025
2025020935,BOS,R,2026-02-28,0,0,{'default': 'Bruins'},{'default': 'Flyers'},0,-1,0,0,0,0,0,18,0,0,14:24,PHI,2,2025
2025020918,BOS,H,2026-02-26,0,0,{'default': 'Bruins'},{'default': 'Blue Jackets'},0,-1,0,0,0,0,1,24,0,0,17:39,CBJ,0,2025
