gameId,teamAbbrev,homeRoadFlag,gameDate,goals,assists,commonName,opponentCommonName,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,shorthandedGoals,shorthandedPoints,opponentAbbrev,pim,toi,season
2025020886,BUF,R,2026-02-03,0,0,{'default': 'Sabres'},{'default': 'Lightning'},0,0,0,0,0,0,0,21,0,0,TBL,2,14:36,2025
2025020876,BUF,R,2026-02-02,0,0,{'default': 'Sabres'},{'default': 'Panthers'},0,-1,0,0,0,0,0,15,0,0,FLA,0,12:15,2025
2025020865,BUF,H,2026-01-31,1,0,{'default': 'Sabres'},{'default': 'Canadiens'},1,-2,1,1,0,0,1,18,0,0,MTL,0,13:18,2025
2025020844,BUF,H,2026-01-29,0,0,{'default': 'Sabres'},{'default': 'Kings'},0,0,0,0,0,0,1,17,0,0,LAK,0,13:58,2025
2025020831,BUF,R,2026-01-27,0,0,{'default': 'Sabres'},{'default': 'Maple Leafs'},0,0,0,0,0,0,1,19,0,0,TOR,0,18:33,2025
2025020810,BUF,R,2026-01-24,0,0,{'default': 'Sabres'},{'default': 'Islanders'},0,0,0,0,0,0,0,20,0,0,NYI,0,16:56,2025
2025020795,BUF,R,2026-01-22,0,1,{'default': 'Sabres'},{'default': 'Canadiens'},1,1,0,0,0,0,0,18,0,0,MTL,2,13:02,2025
2025020784,BUF,R,2026-01-20,2,0,{'default': 'Sabres'},{'default': 'Predators'},2,1,0,0,0,0,3,20,0,0,NSH,0,16:58,2025
2025020770,BUF,R,2026-01-19,0,0,{'default': 'Sabres'},{'default': 'Hurricanes'},0,0,0,0,0,0,0,19,0,0,CAR,0,15:23,2025
2025020754,BUF,H,2026-01-17,0,0,{'default': 'Sabres'},{'default': 'Wild'},0,-1,0,0,0,0,0,19,0,0,MIN,0,16:09,2025
2025020740,BUF,H,2026-01-15,0,2,{'default': 'Sabres'},{'default': 'Canadiens'},2,0,0,2,0,0,3,19,0,0,MTL,0,17:21,2025
2025020736,BUF,H,2026-01-14,0,1,{'default': 'Sabres'},{'default': 'Flyers'},1,1,0,0,0,0,0,16,0,0,PHI,0,11:32,2025
2025020701,BUF,H,2026-01-10,0,0,{'default': 'Sabres'},{'default': 'Ducks'},0,0,0,0,0,0,0,17,0,0,ANA,0,10:32,2025
2025020685,BUF,R,2026-01-08,0,0,{'default': 'Sabres'},{'default': 'Rangers'},0,0,0,0,0,0,0,18,0,0,NYR,2,12:59,2025
2025020667,BUF,H,2026-01-06,0,0,{'default': 'Sabres'},{'default': 'Canucks'},0,0,0,0,0,0,2,14,0,0,VAN,0,10:59,2025
2025020646,BUF,R,2026-01-03,0,0,{'default': 'Sabres'},{'default': 'Blue Jackets'},0,0,0,0,0,0,1,18,0,0,CBJ,0,12:36,2025
2025020628,BUF,R,2025-12-31,0,2,{'default': 'Sabres'},{'default': 'Stars'},2,1,0,0,0,0,0,20,0,0,DAL,0,12:56,2025
2025020610,BUF,R,2025-12-29,1,0,{'default': 'Sabres'},{'default': 'Blues'},1,1,0,0,0,0,1,21,0,0,STL,0,12:57,2025
2025020589,BUF,H,2025-12-27,0,0,{'default': 'Sabres'},{'default': 'Bruins'},0,0,0,0,0,0,3,19,0,0,BOS,0,16:01,2025
2025020578,BUF,R,2025-12-23,1,0,{'default': 'Sabres'},"{'default': 'Senators', 'fr': 'Sénateurs'}",1,1,0,0,0,0,2,22,0,0,OTT,0,15:01,2025
2025020565,BUF,R,2025-12-21,0,0,{'default': 'Sabres'},{'default': 'Devils'},0,1,0,0,0,0,1,23,0,0,NJD,0,17:08,2025
2025020553,BUF,H,2025-12-20,0,0,{'default': 'Sabres'},{'default': 'Islanders'},0,0,0,0,0,0,1,19,0,0,NYI,0,14:42,2025
2025020535,BUF,H,2025-12-18,1,0,{'default': 'Sabres'},{'default': 'Flyers'},1,1,0,0,0,0,2,21,0,0,PHI,0,13:40,2025
2025020513,BUF,R,2025-12-14,1,0,{'default': 'Sabres'},{'default': 'Kraken'},1,1,0,0,0,0,1,17,0,0,SEA,0,12:04,2025
2025020437,BUF,R,2025-12-05,0,0,{'default': 'Sabres'},{'default': 'Jets'},0,-1,0,0,0,0,0,15,0,0,WPG,0,10:32,2025
2025020423,BUF,R,2025-12-03,0,0,{'default': 'Sabres'},{'default': 'Flyers'},0,0,0,0,0,0,0,15,0,0,PHI,0,10:34,2025
2025020408,BUF,H,2025-12-01,0,0,{'default': 'Sabres'},{'default': 'Jets'},0,1,0,0,0,0,1,17,0,0,WPG,0,12:03,2025
2025020399,BUF,R,2025-11-29,0,1,{'default': 'Sabres'},{'default': 'Wild'},1,-1,0,0,0,0,0,16,0,0,MIN,0,12:20,2025
2025020379,BUF,H,2025-11-28,0,0,{'default': 'Sabres'},{'default': 'Devils'},0,-1,0,0,0,0,0,18,0,0,NJD,0,13:46,2025
2025020366,BUF,R,2025-11-26,0,0,{'default': 'Sabres'},{'default': 'Penguins'},0,-1,0,0,0,0,1,16,0,0,PIT,0,13:27,2025
2025020347,BUF,H,2025-11-23,0,0,{'default': 'Sabres'},{'default': 'Hurricanes'},0,0,0,0,0,0,1,17,0,0,CAR,0,12:49,2025
2025020331,BUF,H,2025-11-21,0,0,{'default': 'Sabres'},{'default': 'Blackhawks'},0,1,0,0,0,0,1,19,0,0,CHI,0,14:31,2025
2025020316,BUF,H,2025-11-19,0,0,{'default': 'Sabres'},{'default': 'Flames'},0,1,0,0,0,0,1,14,0,0,CGY,0,12:36,2025
