gameId,teamAbbrev,homeRoadFlag,gameDate,goals,assists,commonName,opponentCommonName,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,shorthandedGoals,shorthandedPoints,opponentAbbrev,pim,toi,season
2025020802,TOR,H,2026-01-23,0,0,{'default': 'Maple Leafs'},{'default': 'Golden Knights'},0,0,0,0,0,0,2,32,0,0,VGK,0,24:11,2025
2025020788,TOR,H,2026-01-21,0,0,{'default': 'Maple Leafs'},{'default': 'Red Wings'},0,0,0,0,0,0,0,5,0,0,DET,0,1:50,2025
2025020774,TOR,H,2026-01-19,0,0,{'default': 'Maple Leafs'},{'default': 'Wild'},0,0,0,0,0,0,3,27,0,0,MIN,0,19:32,2025
2025020762,TOR,R,2026-01-17,1,2,{'default': 'Maple Leafs'},{'default': 'Jets'},3,4,0,0,0,0,1,38,0,0,WPG,0,25:10,2025
2025020748,TOR,R,2026-01-15,0,0,{'default': 'Maple Leafs'},{'default': 'Golden Knights'},0,1,0,0,0,0,2,29,0,0,VGK,0,21:10,2025
2025020733,TOR,R,2026-01-13,0,1,{'default': 'Maple Leafs'},{'default': 'Mammoth'},1,1,0,0,0,0,3,34,0,0,UTA,2,21:45,2025
2025020723,TOR,R,2026-01-12,0,2,{'default': 'Maple Leafs'},{'default': 'Avalanche'},2,0,0,0,0,0,2,32,0,0,COL,0,20:53,2025
2025020702,TOR,H,2026-01-10,0,0,{'default': 'Maple Leafs'},{'default': 'Canucks'},0,1,0,0,0,0,0,25,0,0,VAN,0,18:33,2025
2025020686,TOR,R,2026-01-08,0,0,{'default': 'Maple Leafs'},{'default': 'Flyers'},0,1,0,0,0,0,1,39,0,0,PHI,0,25:00,2025
2025020672,TOR,H,2026-01-06,0,0,{'default': 'Maple Leafs'},{'default': 'Panthers'},0,1,0,0,0,0,0,28,0,0,FLA,0,23:09,2025
2025020651,TOR,R,2026-01-03,0,0,{'default': 'Maple Leafs'},{'default': 'Islanders'},0,2,0,0,0,0,0,38,0,0,NYI,0,26:40,2025
2025020634,TOR,H,2026-01-01,1,1,{'default': 'Maple Leafs'},{'default': 'Jets'},2,0,0,0,0,0,3,35,0,0,WPG,2,21:30,2025
2025020617,TOR,H,2025-12-30,0,0,{'default': 'Maple Leafs'},{'default': 'Devils'},0,1,0,0,0,0,1,26,0,0,NJD,0,19:12,2025
2025020601,TOR,R,2025-12-28,0,0,{'default': 'Maple Leafs'},{'default': 'Red Wings'},0,0,0,0,0,0,1,33,0,0,DET,0,21:49,2025
2025020590,TOR,H,2025-12-27,0,0,{'default': 'Maple Leafs'},"{'default': 'Senators', 'fr': 'Sénateurs'}",0,-2,0,0,0,0,1,27,0,0,OTT,2,16:45,2025
2025020575,TOR,H,2025-12-23,0,1,{'default': 'Maple Leafs'},{'default': 'Penguins'},1,1,0,0,0,0,2,30,0,0,PIT,0,21:10,2025
2025020568,TOR,R,2025-12-21,0,0,{'default': 'Maple Leafs'},{'default': 'Stars'},0,-2,0,0,0,0,1,27,0,0,DAL,0,20:50,2025
2025020558,TOR,R,2025-12-20,0,0,{'default': 'Maple Leafs'},{'default': 'Predators'},0,-2,0,0,0,0,0,31,0,0,NSH,0,22:15,2025
