playerId,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8480058,2020,Pierre-Olivier Joseph,2020020068,PIT,NYR,HOME,20210122,D,all,782.0,19.0,1.425,0.6636,0.4116,0.5769,0.4342,0.5833,0.4138,6.0,2.546,0.066,0.164,0.7,0.076,1.748,1.246,0.066,0.061,0.061,1.0,0.0,3.0,1.0,1.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,0.066,0.0,0.0,0.0,0.0,0.0,4.564,4.0,3.691,0.0,0.032,0.326,0.0,0.098,0.09,0.09,19.0,0.0,0.0,1.0,18.0,4.0,3.0,1.0,11.0,0.0,0.0,3118.0,0.0,2.0,1.0,0.0,10.426,0.87,0.861,0.827,0.819,11.0,3.0,1.0,15.0,1.0,2.0,1.0,12.0,0.0,2.0,0.322,0.0,0.548,0.0,0.0,1.0,14.122,14.0,13.277,0.127,0.548,0.548,0.449,0.424,0.423,7.261,0.441,0.439,0.451,0.449,8.0,2.0,1.0,11.0,0.0,0.0,0.0,8.0,2.0,0.0,0.168,0.274,0.0,0.0,0.0,0.0,11.317,10.0,10.225,0.083,0.0,0.0,0.525,0.537,0.534,2.15,3.074,33.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0
8480058,2020,Pierre-Olivier Joseph,2020020083,PIT,NYR,HOME,20210124,D,all,801.0,22.0,0.5,0.4804,0.5063,0.5769,0.4342,0.6,0.4,5.0,1.985,0.058,0.124,0.627,0.078,1.256,0.857,0.056,0.054,0.051,0.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,0.058,0.0,0.0,0.0,0.0,0.0,2.745,3.0,2.749,1.0,0.024,0.0,0.0,0.082,0.076,0.072,22.0,0.0,2.0,1.0,19.0,6.0,5.0,4.0,7.0,0.0,0.0,2799.0,0.0,0.0,0.0,0.0,8.464,0.526,0.524,0.495,0.493,9.0,3.0,3.0,15.0,1.0,0.0,0.0,10.0,1.0,1.0,0.196,0.082,0.248,1.0,0.0,0.0,14.11,12.0,11.326,0.099,0.0,0.0,0.625,0.588,0.584,5.961,0.569,0.528,0.602,0.559,5.0,3.0,3.0,11.0,0.0,1.0,0.0,5.0,2.0,1.0,0.071,0.239,0.259,0.0,0.0,0.0,11.778,8.0,8.524,0.069,0.259,0.259,0.379,0.403,0.401,1.955,1.906,33.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0
8480058,2020,Pierre-Olivier Joseph,2020020093,PIT,BOS,AWAY,20210126,D,all,776.0,21.0,-0.05,0.3231,0.4532,0.44,0.5476,0.4545,0.5217,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,1.0,2.0,0.0,18.0,4.0,3.0,2.0,12.0,0.0,0.0,3113.0,0.0,2.0,1.0,0.0,7.016,0.409,0.409,0.41,0.41,7.0,3.0,1.0,11.0,0.0,0.0,0.0,7.0,3.0,0.0,0.142,0.266,0.0,0.0,0.0,0.0,10.726,10.0,9.837,0.089,0.0,0.0,0.497,0.499,0.499,8.742,0.857,0.848,0.86,0.851,7.0,5.0,2.0,14.0,0.0,0.0,0.0,8.0,3.0,1.0,0.226,0.408,0.223,0.0,0.0,0.0,14.652,12.0,12.533,0.131,0.0,0.0,0.988,0.992,0.981,1.739,2.098,46.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0
8480058,2020,Pierre-Olivier Joseph,2020020109,PIT,BOS,AWAY,20210128,D,all,1022.0,20.0,-0.075,0.4204,0.3406,0.5,0.5714,0.5625,0.5714,4.0,1.893,0.086,0.128,0.416,0.064,1.364,0.942,0.084,0.083,0.082,0.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.086,0.0,0.0,0.0,0.0,0.0,2.685,3.0,2.863,0.0,0.025,0.0,0.0,0.111,0.107,0.105,20.0,3.0,2.0,3.0,12.0,2.0,2.0,1.0,15.0,0.0,0.0,2578.0,0.0,0.0,0.0,0.0,6.579,0.256,0.253,0.251,0.249,6.0,3.0,1.0,10.0,0.0,0.0,0.0,8.0,1.0,0.0,0.163,0.093,0.0,0.0,0.0,0.0,9.151,9.0,8.609,0.066,0.0,0.0,0.322,0.316,0.314,4.631,0.353,0.353,0.349,0.349,4.0,3.0,3.0,10.0,1.0,0.0,0.0,5.0,2.0,0.0,0.115,0.238,0.0,0.0,1.0,0.0,10.408,7.0,7.238,0.066,0.0,0.0,0.419,0.415,0.415,0.544,1.053,32.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
8480058,2020,Pierre-Olivier Joseph,2020020125,PIT,NYR,AWAY,20210130,D,all,1558.0,33.0,2.7,0.6672,0.4018,0.5625,0.5147,0.5641,0.4909,2.0,2.652,0.161,0.154,0.636,0.079,1.645,1.326,0.161,0.164,0.164,3.0,0.0,2.0,2.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,4.0,1.0,2.0,0.0,1.0,0.0,2.0,3.0,1.0,0.0,0.068,0.093,0.0,0.0,0.0,0.0,4.11,4.0,4.095,1.0,0.032,0.0,0.0,0.193,0.197,0.197,33.0,1.0,6.0,7.0,19.0,5.0,3.0,3.0,22.0,0.0,0.0,2189.0,2.0,0.0,0.0,0.0,15.566,1.351,1.338,1.403,1.39,15.0,7.0,5.0,27.0,3.0,0.0,0.0,16.0,5.0,1.0,0.489,0.654,0.208,2.0,0.0,1.0,27.607,22.0,22.458,0.227,0.0,0.0,1.578,1.637,1.622,11.7,0.674,0.662,0.658,0.646,12.0,5.0,4.0,21.0,0.0,1.0,0.0,14.0,3.0,0.0,0.33,0.344,0.0,0.0,0.0,0.0,20.716,17.0,16.756,0.151,0.143,0.143,0.682,0.662,0.648,1.702,2.534,35.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0
8480058,2020,Pierre-Olivier Joseph,2020020144,PIT,NYR,AWAY,20210201,D,all,1574.0,32.0,0.4,0.3072,0.547,0.5682,0.5645,0.5484,0.5476,2.0,3.547,0.029,0.19,0.932,0.11,2.085,1.654,0.029,0.031,0.031,0.0,0.0,4.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.029,0.0,0.0,0.0,0.0,0.0,6.142,5.0,5.161,0.0,0.039,0.0,0.0,0.069,0.071,0.071,32.0,7.0,2.0,3.0,20.0,3.0,5.0,1.0,23.0,0.0,0.0,2026.0,0.0,0.0,0.0,2.0,12.801,0.654,0.619,0.698,0.659,14.0,3.0,8.0,25.0,0.0,2.0,0.0,15.0,1.0,1.0,0.272,0.13,0.252,0.0,0.0,0.0,25.71,17.0,17.549,0.201,0.261,0.261,0.594,0.62,0.615,8.864,1.475,1.465,1.422,1.412,10.0,4.0,5.0,19.0,1.0,1.0,0.0,10.0,1.0,3.0,0.395,0.087,0.993,0.0,0.0,1.0,18.19,14.0,13.38,0.144,0.25,0.25,1.368,1.319,1.316,1.384,1.146,35.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0
8480058,2020,Pierre-Olivier Joseph,2020020181,PIT,NYI,AWAY,20210206,D,all,1324.0,27.0,1.375,0.5013,0.4001,0.5455,0.5316,0.6154,0.5161,2.0,2.024,0.034,0.097,0.543,0.061,1.295,0.971,0.033,0.035,0.035,0.0,0.0,1.0,2.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.034,0.0,0.0,1.0,0.0,0.0,3.096,3.0,3.091,1.0,0.019,0.0,0.0,0.052,0.055,0.054,27.0,2.0,2.0,6.0,17.0,2.0,1.0,7.0,17.0,0.0,0.0,2276.0,0.0,0.0,0.0,1.0,11.833,0.993,0.99,1.046,1.043,11.0,5.0,2.0,18.0,3.0,0.0,0.0,12.0,4.0,0.0,0.325,0.668,0.0,2.0,1.0,0.0,18.39,16.0,16.234,0.169,0.0,0.0,1.162,1.222,1.218,7.92,0.988,0.979,0.97,0.961,7.0,3.0,5.0,15.0,1.0,0.0,0.0,6.0,2.0,2.0,0.185,0.316,0.487,0.0,0.0,1.0,14.917,10.0,10.145,0.126,0.0,0.0,1.114,1.095,1.082,1.514,2.27,42.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0
8480058,2020,Pierre-Olivier Joseph,2020020215,PIT,NYI,AWAY,20210211,D,all,1169.0,27.0,-0.125,0.4811,0.446,0.4242,0.5714,0.5,0.5,4.0,0.744,0.025,0.019,0.315,0.027,0.331,0.283,0.025,0.025,0.025,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.975,1.0,0.964,1.0,0.004,0.0,0.0,0.029,0.029,0.029,27.0,2.0,2.0,5.0,18.0,6.0,2.0,5.0,14.0,0.0,0.0,2731.0,0.0,0.0,0.0,0.0,8.94,1.005,0.897,1.034,0.922,11.0,1.0,2.0,14.0,1.0,1.0,1.0,9.0,1.0,2.0,0.26,0.09,0.654,0.0,0.0,1.0,14.163,12.0,12.101,0.124,0.342,0.342,0.787,0.804,0.797,9.481,1.084,1.033,1.058,1.01,8.0,4.0,7.0,19.0,2.0,1.0,0.0,6.0,4.0,2.0,0.083,0.487,0.513,0.0,1.0,1.0,18.908,12.0,12.087,0.191,0.275,0.275,0.999,0.982,0.97,1.635,2.031,44.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0
8480058,2020,Pierre-Olivier Joseph,2020020242,PIT,WSH,HOME,20210214,D,all,1166.0,24.0,0.075,0.2927,0.7711,0.4318,0.5231,0.4571,0.5918,4.0,1.841,0.057,0.131,0.48,0.059,1.331,0.943,0.051,0.056,0.05,0.0,0.0,3.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.057,0.0,0.0,0.0,0.0,0.0,4.048,3.0,3.048,0.0,0.026,0.0,0.0,0.082,0.081,0.073,24.0,1.0,3.0,5.0,15.0,2.0,4.0,4.0,14.0,0.0,0.0,2434.0,0.0,2.0,1.0,1.0,11.075,0.681,0.65,0.677,0.645,14.0,2.0,3.0,19.0,0.0,0.0,0.0,12.0,4.0,0.0,0.231,0.451,0.0,0.0,0.0,0.0,19.526,16.0,16.505,0.148,0.0,0.0,0.83,0.824,0.785,14.48,1.646,1.528,1.669,1.548,18.0,1.0,6.0,25.0,2.0,4.0,1.0,12.0,4.0,3.0,0.337,0.506,0.803,0.0,2.0,0.0,24.856,19.0,18.733,0.31,0.759,0.759,1.197,1.215,1.195,3.426,1.017,34.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0
8480058,2020,Pierre-Olivier Joseph,2020020257,PIT,WSH,HOME,20210216,D,all,883.0,22.0,-0.625,0.2182,0.4672,0.381,0.4471,0.2857,0.4444,5.0,0.651,0.035,0.041,0.244,0.024,0.4,0.256,0.035,0.034,0.034,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,4.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.035,0.0,0.0,0.0,0.0,0.0,1.94,1.0,0.971,0.0,0.009,0.0,0.0,0.044,0.042,0.042,22.0,1.0,6.0,3.0,12.0,0.0,7.0,4.0,11.0,0.0,0.0,2717.0,4.0,0.0,0.0,0.0,2.522,0.182,0.182,0.17,0.17,2.0,2.0,4.0,8.0,0.0,0.0,0.0,3.0,1.0,0.0,0.1,0.082,0.0,0.0,0.0,0.0,7.585,4.0,3.737,0.035,0.0,0.0,0.217,0.202,0.202,7.325,0.652,0.625,0.695,0.667,8.0,2.0,3.0,13.0,1.0,1.0,0.0,8.0,1.0,1.0,0.246,0.083,0.323,1.0,0.0,0.0,14.41,10.0,10.936,0.105,0.323,0.323,0.434,0.471,0.469,1.689,1.926,38.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0
