gameId,teamAbbrev,homeRoadFlag,gameDate,goals,assists,commonName,opponentCommonName,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,shorthandedGoals,shorthandedPoints,pim,toi,opponentAbbrev,season
2025021157,NJD,R,2026-03-28,0,0,{'default': 'Devils'},{'default': 'Hurricanes'},0,-1,0,0,0,0,0,13,0,0,0,10:26,CAR,2025
2025021144,NJD,R,2026-03-26,0,0,{'default': 'Devils'},{'default': 'Predators'},0,0,0,0,0,0,0,13,0,0,0,8:36,NSH,2025
2025021130,NJD,R,2026-03-24,0,0,{'default': 'Devils'},{'default': 'Stars'},0,-1,0,0,0,0,0,9,0,0,0,7:11,DAL,2025
2025021095,NJD,R,2026-03-20,0,0,{'default': 'Devils'},{'default': 'Capitals'},0,0,0,0,0,0,0,9,0,0,0,6:55,WSH,2025
2025021077,NJD,R,2026-03-18,0,1,{'default': 'Devils'},{'default': 'Rangers'},1,0,0,0,0,0,1,14,0,0,0,8:57,NYR,2025
2025021064,NJD,H,2026-03-16,2,0,{'default': 'Devils'},{'default': 'Bruins'},2,1,0,0,1,1,2,12,0,0,0,9:18,BOS,2025
2025021050,NJD,H,2026-03-14,0,0,{'default': 'Devils'},{'default': 'Kings'},0,0,0,0,0,0,1,13,0,0,0,9:26,LAK,2025
2025021032,NJD,H,2026-03-12,0,0,{'default': 'Devils'},{'default': 'Flames'},0,0,0,0,0,0,1,15,0,0,0,11:07,CGY,2025
2025021005,NJD,H,2026-03-08,0,0,{'default': 'Devils'},{'default': 'Red Wings'},0,-1,0,0,0,0,0,11,0,0,0,9:10,DET,2025
2025020991,NJD,H,2026-03-07,0,0,{'default': 'Devils'},{'default': 'Rangers'},0,-1,0,0,0,0,0,12,0,0,0,6:11,NYR,2025
2025020971,NJD,H,2026-03-04,0,0,{'default': 'Devils'},{'default': 'Maple Leafs'},0,-1,0,0,0,0,0,10,0,0,0,7:16,TOR,2025
2025020961,NJD,H,2026-03-03,0,0,{'default': 'Devils'},{'default': 'Panthers'},0,-1,0,0,0,0,1,14,0,0,0,9:26,FLA,2025
2025020943,NJD,R,2026-02-28,0,0,{'default': 'Devils'},{'default': 'Blues'},0,0,0,0,0,0,0,12,0,0,0,8:25,STL,2025
2025020922,NJD,R,2026-02-26,1,0,{'default': 'Devils'},{'default': 'Penguins'},1,1,0,0,0,0,2,12,0,0,0,10:05,PIT,2025
2025020910,NJD,H,2026-02-25,0,0,{'default': 'Devils'},{'default': 'Sabres'},0,0,0,0,0,0,0,11,0,0,0,7:45,BUF,2025
2025020905,NJD,H,2026-02-05,0,0,{'default': 'Devils'},{'default': 'Islanders'},0,-1,0,0,0,0,1,12,0,0,0,8:37,NYI,2025
2025020887,NJD,H,2026-02-03,0,0,{'default': 'Devils'},{'default': 'Blue Jackets'},0,-1,0,0,0,0,0,17,0,0,0,13:07,CBJ,2025
2025020866,NJD,R,2026-01-31,0,0,{'default': 'Devils'},"{'default': 'Senators', 'fr': 'Sénateurs'}",0,0,0,0,0,0,0,12,0,0,0,8:40,OTT,2025
2025020848,NJD,H,2026-01-29,0,0,{'default': 'Devils'},{'default': 'Predators'},0,0,0,0,0,0,2,17,0,0,0,13:30,NSH,2025
2025020835,NJD,H,2026-01-27,0,0,{'default': 'Devils'},{'default': 'Jets'},0,-2,0,0,0,0,0,11,0,0,0,7:50,WPG,2025
2025020820,NJD,R,2026-01-25,0,0,{'default': 'Devils'},{'default': 'Kraken'},0,0,0,0,0,0,1,11,0,0,2,6:31,SEA,2025
2025020807,NJD,R,2026-01-23,0,0,{'default': 'Devils'},{'default': 'Canucks'},0,-1,0,0,0,0,1,11,0,0,0,10:12,VAN,2025
2025020786,NJD,R,2026-01-20,0,0,{'default': 'Devils'},{'default': 'Oilers'},0,0,0,0,0,0,1,13,0,0,0,9:11,EDM,2025
2025020777,NJD,R,2026-01-19,0,0,{'default': 'Devils'},{'default': 'Flames'},0,0,0,0,0,0,1,13,0,0,0,9:17,CGY,2025
2025020759,NJD,H,2026-01-17,0,0,{'default': 'Devils'},{'default': 'Hurricanes'},0,0,0,0,0,0,0,16,0,0,2,9:47,CAR,2025
2025020735,NJD,H,2026-01-14,0,0,{'default': 'Devils'},{'default': 'Kraken'},0,0,0,0,0,0,0,12,0,0,0,9:12,SEA,2025
2025020721,NJD,R,2026-01-12,0,0,{'default': 'Devils'},{'default': 'Wild'},0,0,0,0,0,0,1,15,0,0,0,9:31,MIN,2025
2025020711,NJD,R,2026-01-11,0,0,{'default': 'Devils'},{'default': 'Jets'},0,-1,0,0,0,0,0,10,0,0,0,6:58,WPG,2025
2025020687,NJD,R,2026-01-08,0,0,{'default': 'Devils'},{'default': 'Penguins'},0,0,0,0,0,0,1,17,0,0,0,13:22,PIT,2025
2025020627,NJD,R,2025-12-31,0,0,{'default': 'Devils'},{'default': 'Blue Jackets'},0,0,0,0,0,0,0,9,0,0,0,6:54,CBJ,2025
2025020617,NJD,R,2025-12-30,0,0,{'default': 'Devils'},{'default': 'Maple Leafs'},0,0,0,0,0,0,0,12,0,0,0,10:23,TOR,2025
2025020592,NJD,H,2025-12-27,0,0,{'default': 'Devils'},{'default': 'Capitals'},0,-2,0,0,0,0,0,12,0,0,0,9:18,WSH,2025
2025020580,NJD,R,2025-12-23,0,0,{'default': 'Devils'},{'default': 'Islanders'},0,0,0,0,0,0,0,13,0,0,0,9:47,NYI,2025
2025020565,NJD,H,2025-12-21,0,0,{'default': 'Devils'},{'default': 'Sabres'},0,0,0,0,0,0,1,13,0,0,0,10:22,BUF,2025
2025020547,NJD,R,2025-12-19,0,0,{'default': 'Devils'},{'default': 'Mammoth'},0,0,0,0,0,0,0,17,0,0,0,15:53,UTA,2025
2025020533,NJD,R,2025-12-17,0,0,{'default': 'Devils'},{'default': 'Golden Knights'},0,0,0,0,0,0,1,20,0,0,2,14:41,VGK,2025
2025020508,NJD,H,2025-12-14,0,0,{'default': 'Devils'},{'default': 'Canucks'},0,0,0,0,0,0,1,17,0,0,0,15:22,VAN,2025
2025020495,NJD,H,2025-12-13,1,0,{'default': 'Devils'},{'default': 'Ducks'},1,2,0,0,1,0,2,21,0,0,0,16:24,ANA,2025
2025020481,NJD,H,2025-12-11,1,1,{'default': 'Devils'},{'default': 'Lightning'},2,0,0,0,0,0,3,18,0,0,0,14:04,TBL,2025
2025020467,NJD,R,2025-12-09,1,0,{'default': 'Devils'},"{'default': 'Senators', 'fr': 'Sénateurs'}",1,1,0,0,0,0,3,9,0,0,0,7:41,OTT,2025
2025020443,NJD,R,2025-12-06,0,0,{'default': 'Devils'},{'default': 'Bruins'},0,0,0,0,0,0,1,15,0,0,0,11:13,BOS,2025
2025020436,NJD,H,2025-12-05,0,0,{'default': 'Devils'},{'default': 'Golden Knights'},0,0,0,0,0,0,0,14,0,0,0,10:58,VGK,2025
2025020421,NJD,H,2025-12-03,0,0,{'default': 'Devils'},{'default': 'Stars'},0,-1,0,0,0,0,0,16,0,0,0,13:49,DAL,2025
2025020406,NJD,H,2025-12-01,0,0,{'default': 'Devils'},{'default': 'Blue Jackets'},0,0,0,0,0,0,0,13,0,0,5,10:47,CBJ,2025
2025020395,NJD,H,2025-11-29,0,0,{'default': 'Devils'},{'default': 'Flyers'},0,-2,0,0,0,0,0,19,0,0,0,12:06,PHI,2025
2025020379,NJD,R,2025-11-28,1,1,{'default': 'Devils'},{'default': 'Sabres'},2,2,0,0,0,0,2,22,0,0,0,16:03,BUF,2025
2025020364,NJD,H,2025-11-26,0,1,{'default': 'Devils'},{'default': 'Blues'},1,-1,0,0,0,0,2,15,0,0,0,12:25,STL,2025
2025020354,NJD,H,2025-11-24,0,0,{'default': 'Devils'},{'default': 'Red Wings'},0,0,0,0,0,0,1,16,0,0,0,11:35,DET,2025
2025020339,NJD,R,2025-11-22,0,0,{'default': 'Devils'},{'default': 'Flyers'},0,-1,0,0,0,0,0,17,0,0,0,11:33,PHI,2025
2025020323,NJD,R,2025-11-20,0,0,{'default': 'Devils'},{'default': 'Panthers'},0,0,0,0,0,0,1,16,0,0,0,12:29,FLA,2025
2025020309,NJD,R,2025-11-18,0,0,{'default': 'Devils'},{'default': 'Lightning'},0,0,0,0,0,0,3,17,0,0,0,14:20,TBL,2025
2025020288,NJD,R,2025-11-15,0,1,{'default': 'Devils'},{'default': 'Capitals'},1,-1,0,1,0,0,1,24,0,0,0,16:58,WSH,2025
2025020268,NJD,R,2025-11-12,0,0,{'default': 'Devils'},{'default': 'Blackhawks'},0,-2,0,0,0,0,0,16,0,0,0,11:15,CHI,2025
2025020252,NJD,H,2025-11-10,0,0,{'default': 'Devils'},{'default': 'Islanders'},0,0,0,0,0,0,1,14,0,0,2,9:41,NYI,2025
2025020231,NJD,H,2025-11-08,0,0,{'default': 'Devils'},{'default': 'Penguins'},0,1,0,0,0,0,0,18,0,0,0,13:43,PIT,2025
2025020220,NJD,H,2025-11-06,0,0,{'default': 'Devils'},{'default': 'Canadiens'},0,0,0,0,0,0,0,12,0,0,0,9:06,MTL,2025
2025020197,NJD,R,2025-11-02,0,0,{'default': 'Devils'},{'default': 'Ducks'},0,0,0,0,0,0,0,16,0,0,0,12:25,ANA,2025
2025020191,NJD,R,2025-11-01,0,0,{'default': 'Devils'},{'default': 'Kings'},0,0,0,0,0,0,0,16,0,0,0,11:39,LAK,2025
2025020176,NJD,R,2025-10-30,0,0,{'default': 'Devils'},{'default': 'Sharks'},0,0,0,0,0,0,1,20,0,0,0,13:42,SJS,2025
2025020161,NJD,R,2025-10-28,0,1,{'default': 'Devils'},{'default': 'Avalanche'},1,-1,0,0,0,0,0,17,0,0,0,13:40,COL,2025
2025020140,NJD,H,2025-10-26,0,0,{'default': 'Devils'},{'default': 'Avalanche'},0,-1,0,0,0,0,2,18,0,0,0,14:17,COL,2025
2025020124,NJD,H,2025-10-24,0,0,{'default': 'Devils'},{'default': 'Sharks'},0,0,0,0,0,0,3,18,0,0,0,12:47,SJS,2025
