gameId,teamAbbrev,homeRoadFlag,gameDate,goals,assists,commonName,opponentCommonName,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,shorthandedGoals,shorthandedPoints,opponentAbbrev,pim,toi,season
2025020932,MIN,R,2026-02-27,0,0,{'default': 'Wild'},{'default': 'Mammoth'},0,-1,0,0,0,0,2,24,0,0,UTA,0,25:15,2025
2025020927,MIN,R,2026-02-26,0,1,{'default': 'Wild'},{'default': 'Avalanche'},1,1,0,1,0,0,4,21,0,0,COL,0,26:12,2025
2025020896,MIN,R,2026-02-04,0,2,{'default': 'Wild'},{'default': 'Predators'},2,-1,0,1,0,0,1,28,0,0,NSH,2,28:58,2025
2025020879,MIN,H,2026-02-02,0,3,{'default': 'Wild'},{'default': 'Canadiens'},3,0,0,1,0,0,6,28,0,0,MTL,0,33:19,2025
2025020871,MIN,R,2026-01-31,1,1,{'default': 'Wild'},{'default': 'Oilers'},2,4,0,1,1,0,3,22,0,0,EDM,0,25:14,2025
2025020853,MIN,H,2026-01-29,0,1,{'default': 'Wild'},{'default': 'Flames'},1,0,0,1,0,0,4,20,0,0,CGY,2,27:57,2025
2025020837,MIN,H,2026-01-27,0,1,{'default': 'Wild'},{'default': 'Blackhawks'},1,-2,0,0,0,0,1,24,0,0,CHI,0,27:49,2025
2025020817,MIN,H,2026-01-24,0,1,{'default': 'Wild'},{'default': 'Panthers'},1,-2,0,1,0,0,1,29,0,0,FLA,2,31:16,2025
2025020801,MIN,H,2026-01-22,0,3,{'default': 'Wild'},{'default': 'Red Wings'},3,2,0,1,0,0,3,27,0,0,DET,0,29:55,2025
2025020780,MIN,R,2026-01-20,0,1,{'default': 'Wild'},{'default': 'Canadiens'},1,0,0,1,0,0,2,27,0,0,MTL,0,30:03,2025
2025020774,MIN,R,2026-01-19,0,2,{'default': 'Wild'},{'default': 'Maple Leafs'},2,3,0,0,0,0,1,25,0,0,TOR,2,26:33,2025
2025020754,MIN,R,2026-01-17,1,1,{'default': 'Wild'},{'default': 'Sabres'},2,1,0,0,0,0,4,28,0,0,BUF,2,29:52,2025
2025020744,MIN,H,2026-01-15,0,0,{'default': 'Wild'},{'default': 'Jets'},0,-1,0,0,0,0,1,23,0,0,WPG,0,28:28,2025
2025020721,MIN,H,2026-01-12,0,0,{'default': 'Wild'},{'default': 'Devils'},0,-2,0,0,0,0,5,21,0,0,NJD,2,26:06,2025
2025020708,MIN,H,2026-01-10,0,3,{'default': 'Wild'},{'default': 'Islanders'},3,0,0,1,0,0,8,25,0,0,NYI,0,30:37,2025
2025020693,MIN,R,2026-01-08,0,1,{'default': 'Wild'},{'default': 'Kraken'},1,1,0,0,0,0,4,24,0,0,SEA,0,30:13,2025
2025020666,MIN,R,2026-01-05,0,0,{'default': 'Wild'},{'default': 'Kings'},0,-1,0,0,0,0,4,21,0,0,LAK,0,29:59,2025
2025020655,MIN,R,2026-01-03,0,1,{'default': 'Wild'},{'default': 'Kings'},1,0,0,1,0,0,2,23,0,0,LAK,0,29:05,2025
2025020643,MIN,R,2026-01-02,0,4,{'default': 'Wild'},{'default': 'Ducks'},4,2,0,1,0,0,2,24,0,0,ANA,0,23:16,2025
2025020625,MIN,R,2025-12-31,0,0,{'default': 'Wild'},{'default': 'Sharks'},0,1,0,0,0,0,3,24,0,0,SJS,0,29:05,2025
2025020614,MIN,R,2025-12-29,0,0,{'default': 'Wild'},{'default': 'Golden Knights'},0,0,0,0,0,0,2,22,0,0,VGK,0,23:01,2025
2025020594,MIN,R,2025-12-27,0,3,{'default': 'Wild'},{'default': 'Jets'},3,1,0,1,0,0,0,22,0,0,WPG,0,25:37,2025
