playerId,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8475191,2011,Reilly Smith,2011021151,DAL,EDM,AWAY,20120328,R,all,245.0,5.0,0.025,0.133,0.4037,0.4286,0.4894,0.4286,0.4394,12.0,0.678,0.031,0.043,0.162,0.02,0.46,0.284,0.031,0.032,0.032,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.0,1.032,1.0,1.03,0.0,0.008,0.0,0.0,0.039,0.041,0.041,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,3355.0,0.0,0.0,0.0,0.0,2.112,0.058,0.058,0.062,0.062,3.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.058,0.0,0.0,0.0,0.0,0.0,3.167,3.0,3.161,0.02,0.0,0.0,0.078,0.083,0.083,3.169,0.378,0.376,0.349,0.348,3.0,1.0,0.0,4.0,0.0,0.0,0.0,2.0,1.0,1.0,0.027,0.123,0.228,0.0,0.0,0.0,3.737,4.0,3.746,0.035,0.0,0.0,0.413,0.382,0.381,1.856,2.741,46.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
8475191,2011,Reilly Smith,2011021168,DAL,VAN,AWAY,20120330,R,all,519.0,14.0,-0.075,0.649,0.5319,0.65,0.4706,0.6,0.4531,11.0,0.856,0.063,0.08,0.138,0.019,0.432,0.269,0.063,0.063,0.063,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.063,0.0,0.0,0.0,0.0,0.0,1.911,1.0,0.964,0.0,0.016,0.0,0.0,0.079,0.079,0.079,14.0,1.0,1.0,2.0,10.0,3.0,1.0,2.0,8.0,0.0,0.0,3081.0,0.0,0.0,0.0,0.0,6.699,0.466,0.456,0.461,0.452,6.0,3.0,4.0,13.0,0.0,0.0,0.0,8.0,1.0,0.0,0.351,0.114,0.0,0.0,0.0,0.0,12.279,9.0,8.639,0.094,0.0,0.0,0.56,0.555,0.543,4.255,0.252,0.25,0.258,0.256,5.0,1.0,1.0,7.0,3.0,0.0,0.0,6.0,0.0,0.0,0.252,0.0,0.0,3.0,0.0,0.0,7.434,6.0,6.278,0.055,0.0,0.025,0.282,0.288,0.287,1.819,1.601,40.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0
8475191,2011,Reilly Smith,2011021227,DAL,STL,HOME,20120407,R,all,748.0,20.0,-0.84,0.213,0.4143,0.2667,0.54,0.2,0.527,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,2.0,3.0,5.0,10.0,4.0,6.0,1.0,9.0,1.0,0.0,2852.0,2.0,0.0,0.0,0.0,2.787,0.21,0.21,0.198,0.198,3.0,1.0,4.0,8.0,0.0,0.0,0.0,3.0,1.0,0.0,0.104,0.107,0.0,0.0,0.0,0.0,7.655,4.0,3.859,0.034,0.0,0.0,0.245,0.231,0.231,11.209,0.776,0.74,0.818,0.779,10.0,6.0,6.0,22.0,0.0,1.0,0.0,13.0,2.0,1.0,0.315,0.261,0.2,0.0,0.0,0.0,23.117,16.0,16.852,0.158,0.159,0.159,0.775,0.818,0.787,2.097,2.964,54.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0
8475191,2012,Reilly Smith,2012020011,DAL,ARI,HOME,20130119,R,all,603.0,16.0,0.625,0.2274,0.4619,0.6364,0.4587,0.5882,0.4756,11.0,0.745,0.007,0.026,0.223,0.024,0.424,0.297,0.007,0.007,0.007,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0,1.026,1.0,1.038,0.0,0.005,0.0,0.0,0.012,0.012,0.012,16.0,2.0,4.0,3.0,7.0,3.0,2.0,3.0,8.0,0.0,0.0,2997.0,0.0,4.0,2.0,0.0,6.101,0.339,0.338,0.332,0.331,2.0,8.0,4.0,14.0,0.0,0.0,0.0,9.0,1.0,0.0,0.234,0.104,0.0,0.0,0.0,0.0,13.646,10.0,9.811,0.086,0.0,0.0,0.425,0.415,0.415,5.559,1.152,1.132,1.162,1.142,7.0,0.0,1.0,8.0,1.0,0.0,0.0,4.0,1.0,2.0,0.128,0.099,0.926,0.0,0.0,1.0,8.06,7.0,6.993,0.11,0.0,0.0,1.262,1.274,1.251,2.455,2.86,50.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0
8475191,2012,Reilly Smith,2012020017,DAL,MIN,AWAY,20130120,R,all,725.0,16.0,0.425,0.7749,0.2215,0.72,0.5,0.625,0.4333,9.0,1.54,0.278,0.102,0.366,0.054,0.708,0.493,0.272,0.278,0.272,0.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.047,0.0,0.231,0.0,0.0,0.0,2.925,2.0,1.929,0.0,0.021,0.0,0.231,0.068,0.068,0.067,16.0,4.0,0.0,3.0,9.0,2.0,1.0,3.0,10.0,0.0,0.0,2875.0,0.0,0.0,0.0,0.0,7.117,0.599,0.59,0.6,0.591,8.0,2.0,8.0,18.0,0.0,2.0,0.0,8.0,1.0,1.0,0.199,0.169,0.231,0.0,0.0,0.0,17.65,10.0,9.714,0.104,0.4,0.4,0.303,0.303,0.301,4.038,0.174,0.173,0.172,0.172,4.0,2.0,1.0,7.0,0.0,0.0,0.0,6.0,0.0,0.0,0.174,0.0,0.0,0.0,0.0,0.0,7.126,6.0,6.164,0.047,0.0,0.0,0.221,0.219,0.218,0.593,2.084,44.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0
8475191,2012,Reilly Smith,2012020031,DAL,DET,AWAY,20130122,R,all,550.0,14.0,0.275,0.7579,0.3599,0.6923,0.4118,0.625,0.4118,11.0,0.813,0.049,0.055,0.153,0.015,0.394,0.333,0.049,0.055,0.055,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.049,0.0,0.0,0.0,0.0,0.0,1.154,1.0,1.146,0.0,0.012,0.0,0.0,0.06,0.067,0.067,14.0,1.0,1.0,1.0,11.0,2.0,4.0,0.0,8.0,0.0,0.0,3050.0,0.0,0.0,0.0,0.0,4.023,0.288,0.288,0.314,0.314,5.0,0.0,4.0,9.0,0.0,0.0,0.0,4.0,1.0,0.0,0.15,0.138,0.0,0.0,0.0,0.0,9.855,5.0,5.478,0.051,0.0,0.0,0.338,0.369,0.369,2.113,0.092,0.092,0.084,0.084,3.0,0.0,1.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.092,0.0,0.0,0.0,0.0,0.0,3.66,3.0,2.749,0.028,0.0,0.0,0.119,0.11,0.11,2.016,3.586,42.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0
8475191,2012,Reilly Smith,2012020046,DAL,CHI,HOME,20130124,R,all,500.0,16.0,0.225,0.2629,0.4422,0.4762,0.3265,0.4211,0.3913,11.0,1.216,0.068,0.074,0.353,0.051,0.838,0.616,0.068,0.065,0.065,0.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.068,0.0,0.0,0.0,0.0,0.0,2.966,2.0,1.942,0.0,0.015,0.0,0.0,0.084,0.08,0.08,16.0,1.0,0.0,5.0,10.0,3.0,5.0,3.0,5.0,0.0,0.0,3201.0,0.0,0.0,0.0,0.0,5.273,0.479,0.455,0.476,0.452,4.0,4.0,2.0,10.0,0.0,0.0,0.0,6.0,2.0,0.0,0.204,0.276,0.0,0.0,0.0,0.0,10.092,8.0,8.173,0.084,0.0,0.0,0.563,0.559,0.531,7.873,1.343,1.339,1.345,1.341,8.0,3.0,0.0,11.0,2.0,0.0,0.0,9.0,0.0,2.0,0.171,0.0,1.171,0.0,0.0,2.0,10.996,11.0,10.949,0.125,0.0,0.0,1.468,1.471,1.467,2.055,2.592,32.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0
8475191,2012,Reilly Smith,2012020061,DAL,STL,HOME,20130126,R,all,952.0,21.0,-0.5,0.3367,0.5345,0.36,0.527,0.2778,0.5088,5.0,0.789,0.082,0.062,0.13,0.023,0.408,0.295,0.082,0.082,0.082,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.082,0.0,0.0,0.0,0.0,1.026,1.0,1.038,0.0,0.013,0.0,0.0,0.095,0.095,0.095,21.0,0.0,0.0,3.0,18.0,3.0,5.0,1.0,12.0,0.0,0.0,2648.0,2.0,0.0,0.0,0.0,3.801,0.302,0.299,0.29,0.288,4.0,1.0,4.0,9.0,0.0,0.0,0.0,4.0,1.0,0.0,0.22,0.082,0.0,0.0,0.0,0.0,8.623,5.0,4.826,0.055,0.0,0.0,0.357,0.343,0.34,9.423,0.595,0.573,0.645,0.621,11.0,2.0,3.0,16.0,1.0,2.0,0.0,11.0,2.0,0.0,0.305,0.29,0.0,1.0,0.0,0.0,16.787,13.0,13.602,0.114,0.214,0.214,0.495,0.531,0.529,1.975,1.72,39.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0
8475191,2012,Reilly Smith,2012020085,DAL,DET,AWAY,20130129,R,all,489.0,13.0,0.05,0.1111,0.332,0.5714,0.4526,0.5,0.4384,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,2.0,1.0,2.0,8.0,3.0,2.0,2.0,6.0,0.0,0.0,3111.0,0.0,0.0,0.0,0.0,1.178,0.018,0.018,0.018,0.018,2.0,0.0,2.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.018,0.0,0.0,0.0,0.0,0.0,3.822,2.0,1.909,0.014,0.0,0.0,0.032,0.031,0.031,1.548,0.144,0.143,0.138,0.137,2.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.009,0.136,0.0,0.0,0.0,0.0,2.94,2.0,1.942,0.022,0.0,0.0,0.167,0.159,0.158,1.428,2.873,43.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0
8475191,2012,Reilly Smith,2012020115,DAL,ARI,AWAY,20130202,R,all,517.0,14.0,-0.375,0.2381,0.4623,0.2222,0.4348,0.3077,0.3871,10.0,0.779,0.033,0.031,0.253,0.022,0.386,0.275,0.033,0.033,0.033,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.033,0.0,0.0,0.0,0.0,0.0,0.936,1.0,0.954,0.0,0.006,0.0,0.0,0.039,0.039,0.039,14.0,1.0,3.0,2.0,8.0,1.0,4.0,2.0,7.0,0.0,0.0,3083.0,0.0,0.0,0.0,0.0,3.045,0.251,0.251,0.253,0.253,3.0,1.0,0.0,4.0,0.0,0.0,0.0,3.0,1.0,0.0,0.131,0.119,0.0,0.0,0.0,0.0,3.936,4.0,3.97,0.05,0.0,0.0,0.301,0.305,0.305,6.291,0.803,0.771,0.806,0.774,9.0,0.0,5.0,14.0,2.0,1.0,1.0,6.0,2.0,1.0,0.201,0.2,0.402,1.0,0.0,1.0,14.276,9.0,9.211,0.108,0.402,0.402,0.51,0.513,0.508,1.295,1.506,40.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0
