gameId,teamAbbrev,homeRoadFlag,gameDate,goals,assists,commonName,opponentCommonName,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,shorthandedGoals,shorthandedPoints,opponentAbbrev,pim,toi,season
2025020932,MIN,R,2026-02-27,0,0,{'default': 'Wild'},{'default': 'Mammoth'},0,-3,0,0,0,0,4,21,0,0,UTA,0,17:40,2025
2025020927,MIN,R,2026-02-26,0,1,{'default': 'Wild'},{'default': 'Avalanche'},1,1,0,0,0,0,1,17,0,0,COL,0,15:02,2025
2025020896,MIN,R,2026-02-04,0,0,{'default': 'Wild'},{'default': 'Predators'},0,0,0,0,0,0,4,23,0,0,NSH,2,18:54,2025
2025020879,MIN,H,2026-02-02,0,1,{'default': 'Wild'},{'default': 'Canadiens'},1,0,0,0,0,0,1,20,0,0,MTL,0,17:49,2025
2025020871,MIN,R,2026-01-31,0,1,{'default': 'Wild'},{'default': 'Oilers'},1,3,0,0,0,0,3,20,0,0,EDM,0,16:22,2025
2025020853,MIN,H,2026-01-29,0,0,{'default': 'Wild'},{'default': 'Flames'},0,0,0,0,0,0,0,20,0,0,CGY,2,18:17,2025
2025020837,MIN,H,2026-01-27,0,0,{'default': 'Wild'},{'default': 'Blackhawks'},0,-1,0,0,0,0,3,18,0,0,CHI,0,17:28,2025
2025020817,MIN,H,2026-01-24,0,0,{'default': 'Wild'},{'default': 'Panthers'},0,-1,0,0,0,0,2,19,0,0,FLA,0,17:50,2025
2025020801,MIN,H,2026-01-22,0,1,{'default': 'Wild'},{'default': 'Red Wings'},1,3,0,0,0,0,3,23,0,0,DET,0,22:25,2025
2025020780,MIN,R,2026-01-20,0,0,{'default': 'Wild'},{'default': 'Canadiens'},0,0,0,0,0,0,1,22,0,0,MTL,4,20:44,2025
2025020774,MIN,R,2026-01-19,1,1,{'default': 'Wild'},{'default': 'Maple Leafs'},2,1,0,1,0,0,4,20,0,0,TOR,0,21:52,2025
2025020754,MIN,R,2026-01-17,1,0,{'default': 'Wild'},{'default': 'Sabres'},1,1,0,0,0,0,4,22,0,0,BUF,0,22:10,2025
2025020744,MIN,H,2026-01-15,0,1,{'default': 'Wild'},{'default': 'Jets'},1,1,0,0,0,0,3,16,0,0,WPG,0,18:25,2025
2025020721,MIN,H,2026-01-12,1,0,{'default': 'Wild'},{'default': 'Devils'},1,0,0,0,0,0,2,18,0,0,NJD,0,16:51,2025
2025020708,MIN,H,2026-01-10,0,0,{'default': 'Wild'},{'default': 'Islanders'},0,-2,0,0,0,0,2,19,0,0,NYI,2,16:15,2025
2025020693,MIN,R,2026-01-08,1,0,{'default': 'Wild'},{'default': 'Kraken'},1,1,0,0,0,0,2,19,0,0,SEA,2,18:41,2025
2025020666,MIN,R,2026-01-05,1,0,{'default': 'Wild'},{'default': 'Kings'},1,-1,1,1,0,0,1,17,0,0,LAK,0,15:43,2025
2025020655,MIN,R,2026-01-03,0,0,{'default': 'Wild'},{'default': 'Kings'},0,-2,0,0,0,0,0,16,0,0,LAK,0,14:11,2025
2025020643,MIN,R,2026-01-02,0,0,{'default': 'Wild'},{'default': 'Ducks'},0,0,0,0,0,0,1,18,0,0,ANA,0,15:53,2025
2025020625,MIN,R,2025-12-31,0,1,{'default': 'Wild'},{'default': 'Sharks'},1,2,0,0,0,0,0,17,0,0,SJS,0,15:47,2025
2025020614,MIN,R,2025-12-29,0,0,{'default': 'Wild'},{'default': 'Golden Knights'},0,-1,0,0,0,0,1,14,0,0,VGK,0,13:01,2025
2025020594,MIN,R,2025-12-27,0,0,{'default': 'Wild'},{'default': 'Jets'},0,-1,0,0,0,0,0,16,0,0,WPG,0,15:59,2025
2025020582,MIN,H,2025-12-23,0,0,{'default': 'Wild'},{'default': 'Predators'},0,0,0,0,0,0,2,16,0,0,NSH,0,19:18,2025
2025020563,MIN,H,2025-12-21,1,0,{'default': 'Wild'},{'default': 'Avalanche'},1,1,0,0,0,0,3,20,0,0,COL,0,18:09,2025
2025020552,MIN,H,2025-12-20,1,0,{'default': 'Wild'},{'default': 'Oilers'},1,1,0,0,1,0,6,20,0,0,EDM,0,15:46,2025
2025020540,MIN,R,2025-12-18,1,0,{'default': 'Wild'},{'default': 'Blue Jackets'},1,0,1,1,0,0,3,19,0,0,CBJ,0,14:44,2025
2025020526,MIN,H,2025-12-16,0,0,{'default': 'Wild'},{'default': 'Capitals'},0,0,0,0,0,0,2,17,0,0,WSH,0,16:37,2025
2025020511,MIN,H,2025-12-14,1,2,{'default': 'Wild'},{'default': 'Bruins'},3,1,1,1,1,0,2,21,0,0,BOS,0,13:39,2025
2025020496,MIN,H,2025-12-13,1,0,{'default': 'Wild'},"{'default': 'Senators', 'fr': 'Sénateurs'}",1,0,1,1,0,0,2,17,0,0,OTT,5,13:53,2025
2025020488,MIN,H,2025-12-11,0,0,{'default': 'Wild'},{'default': 'Stars'},0,0,0,0,0,0,1,16,0,0,DAL,2,14:56,2025
