gameId,teamAbbrev,homeRoadFlag,gameDate,goals,assists,commonName,opponentCommonName,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,shorthandedGoals,shorthandedPoints,pim,toi,opponentAbbrev,season
2025021302,TBL,H,2026-04-15,0,1,{'default': 'Lightning'},{'default': 'Rangers'},1,1,0,0,0,0,1,13,0,0,0,11:27,NYR,2025
2025021282,TBL,H,2026-04-13,0,0,{'default': 'Lightning'},{'default': 'Red Wings'},0,0,0,0,0,0,0,12,0,0,0,8:56,DET,2025
2025021261,TBL,R,2026-04-11,0,0,{'default': 'Lightning'},{'default': 'Bruins'},0,0,0,0,0,0,0,11,0,0,0,9:33,BOS,2025
2025021229,TBL,R,2026-04-06,0,0,{'default': 'Lightning'},{'default': 'Sabres'},0,0,0,0,0,0,0,9,0,0,0,5:58,BUF,2025
2025021180,TBL,H,2026-03-31,0,0,{'default': 'Lightning'},{'default': 'Canadiens'},0,0,0,0,0,0,0,11,0,0,2,9:05,MTL,2025
2025021168,TBL,H,2026-03-29,0,0,{'default': 'Lightning'},{'default': 'Predators'},0,0,0,0,0,0,0,8,0,0,2,5:54,NSH,2025
2025021152,TBL,H,2026-03-28,0,0,{'default': 'Lightning'},"{'default': 'Senators', 'fr': 'Sénateurs'}",0,0,0,0,0,0,1,12,0,0,0,5:50,OTT,2025
2025021127,TBL,H,2026-03-24,0,0,{'default': 'Lightning'},{'default': 'Wild'},0,0,0,0,0,0,0,13,0,0,5,9:11,MIN,2025
2025021030,TBL,H,2026-03-12,0,0,{'default': 'Lightning'},{'default': 'Red Wings'},0,0,0,0,0,0,1,13,0,0,0,9:47,DET,2025
2025021003,TBL,R,2026-03-08,0,0,{'default': 'Lightning'},{'default': 'Sabres'},0,0,0,0,0,0,0,10,0,0,5,4:17,BUF,2025
2025020994,TBL,R,2026-03-07,0,0,{'default': 'Lightning'},{'default': 'Maple Leafs'},0,0,0,0,0,0,1,12,0,0,2,10:07,TOR,2025
2025020980,TBL,R,2026-03-05,0,0,{'default': 'Lightning'},{'default': 'Jets'},0,0,0,0,0,0,0,12,0,0,0,9:03,WPG,2025
2025020967,TBL,R,2026-03-03,0,0,{'default': 'Lightning'},{'default': 'Wild'},0,0,0,0,0,0,0,11,0,0,10,7:29,MIN,2025
2025020923,TBL,R,2026-02-26,0,1,{'default': 'Lightning'},{'default': 'Hurricanes'},1,0,0,0,0,0,0,8,0,0,0,5:00,CAR,2025
2025020912,TBL,H,2026-02-25,0,0,{'default': 'Lightning'},{'default': 'Maple Leafs'},0,0,0,0,0,0,0,9,0,0,0,5:54,TOR,2025
2025020904,TBL,H,2026-02-05,0,0,{'default': 'Lightning'},{'default': 'Panthers'},0,0,0,0,0,0,1,17,0,0,0,9:23,FLA,2025
2025020886,TBL,H,2026-02-03,0,0,{'default': 'Lightning'},{'default': 'Sabres'},0,0,0,0,0,0,1,8,0,0,0,6:03,BUF,2025
2025020602,TBL,H,2025-12-28,0,0,{'default': 'Lightning'},{'default': 'Canadiens'},0,0,0,0,0,0,0,4,0,0,5,2:20,MTL,2025
2025020591,TBL,R,2025-12-27,0,0,{'default': 'Lightning'},{'default': 'Panthers'},0,0,0,0,0,0,0,10,0,0,26,6:32,FLA,2025
2025020514,TBL,H,2025-12-15,0,0,{'default': 'Lightning'},{'default': 'Panthers'},0,-1,0,0,0,0,0,15,0,0,0,9:25,FLA,2025
2025020498,TBL,R,2025-12-13,0,0,{'default': 'Lightning'},{'default': 'Islanders'},0,-1,0,0,0,0,0,12,0,0,0,6:56,NYI,2025
2025020481,TBL,R,2025-12-11,0,1,{'default': 'Lightning'},{'default': 'Devils'},1,0,0,0,0,0,0,12,0,0,9,9:08,NJD,2025
2025020466,TBL,R,2025-12-09,0,0,{'default': 'Lightning'},{'default': 'Canadiens'},0,1,0,0,0,0,0,11,0,0,5,8:26,MTL,2025
2025020297,TBL,H,2025-11-16,0,0,{'default': 'Lightning'},{'default': 'Canucks'},0,0,0,0,0,0,1,15,0,0,16,10:14,VAN,2025
2025020283,TBL,R,2025-11-15,0,1,{'default': 'Lightning'},{'default': 'Panthers'},1,1,0,0,0,0,2,13,0,0,0,9:06,FLA,2025
2025020265,TBL,H,2025-11-12,1,0,{'default': 'Lightning'},{'default': 'Rangers'},1,0,0,0,0,0,2,17,0,0,2,11:42,NYR,2025
2024020788,SJS,H,2025-01-25,0,0,{'default': 'Sharks'},{'default': 'Panthers'},0,-2,0,0,0,0,0,14,0,0,0,10:27,FLA,2024
2023020686,SJS,R,2024-01-16,0,0,{'default': 'Sharks'},{'default': 'Blackhawks'},0,0,0,0,0,0,2,9,0,0,5,6:36,CHI,2023
2023020672,SJS,R,2024-01-15,0,0,{'default': 'Sharks'},{'default': 'Sabres'},0,0,0,0,0,0,1,13,0,0,0,10:02,BUF,2023
2023020627,SJS,R,2024-01-09,0,0,{'default': 'Sharks'},{'default': 'Maple Leafs'},0,0,0,0,0,0,0,12,0,0,4,11:12,TOR,2023
