gameId,teamAbbrev,homeRoadFlag,gameDate,goals,assists,commonName,opponentCommonName,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,shorthandedGoals,shorthandedPoints,toi,opponentAbbrev,pim,season
2025020747,EDM,H,2026-01-15,0,0,{'default': 'Oilers'},{'default': 'Islanders'},0,0,0,0,0,0,1,18,0,0,14:42,NYI,0,2025
2025020731,EDM,R,2026-01-13,0,0,{'default': 'Oilers'},{'default': 'Predators'},0,-1,0,0,0,0,1,19,0,0,13:53,NSH,0,2025
2025020722,EDM,R,2026-01-12,0,0,{'default': 'Oilers'},{'default': 'Blackhawks'},0,1,0,0,0,0,4,20,0,0,16:16,CHI,2,2025
2025020709,EDM,H,2026-01-10,0,0,{'default': 'Oilers'},{'default': 'Kings'},0,-1,0,0,0,0,1,20,0,0,14:20,LAK,0,2025
2025020690,EDM,R,2026-01-08,0,0,{'default': 'Oilers'},{'default': 'Jets'},0,-2,0,0,0,0,1,27,0,0,20:55,WPG,0,2025
2025020674,EDM,H,2026-01-06,0,0,{'default': 'Oilers'},{'default': 'Predators'},0,2,0,0,0,0,0,23,0,0,16:34,NSH,0,2025
2025020647,EDM,H,2026-01-03,0,0,{'default': 'Oilers'},{'default': 'Flyers'},0,-3,0,0,0,0,1,26,0,0,18:01,PHI,0,2025
2025020631,EDM,H,2025-12-31,0,0,{'default': 'Oilers'},{'default': 'Bruins'},0,0,0,0,0,0,1,20,0,0,15:27,BOS,0,2025
2025020609,EDM,R,2025-12-29,0,0,{'default': 'Oilers'},{'default': 'Jets'},0,0,0,0,0,0,1,27,0,0,21:07,WPG,0,2025
2025020598,EDM,R,2025-12-27,0,0,{'default': 'Oilers'},{'default': 'Flames'},0,0,0,0,0,0,0,24,0,0,16:21,CGY,0,2025
2025020585,EDM,H,2025-12-23,0,0,{'default': 'Oilers'},{'default': 'Flames'},0,1,0,0,0,0,1,29,0,0,20:07,CGY,0,2025
2025020570,EDM,H,2025-12-21,0,0,{'default': 'Oilers'},{'default': 'Golden Knights'},0,0,0,0,0,0,0,20,0,0,15:55,VGK,0,2025
