playerId,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8476871,2013,Tanner Pearson,2013020278,L.A,NYI,AWAY,20131114,L,all,573.0,14.0,1.025,0.4944,0.4153,0.6,0.4875,0.6154,0.4464,11.0,3.17,0.632,0.126,0.809,0.076,1.359,0.996,0.629,0.632,0.629,0.0,0.0,3.0,1.0,0.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,1.0,0.037,0.0,0.595,0.0,0.0,1.0,3.936,4.0,3.954,0.0,0.036,0.0,0.0,0.668,0.667,0.665,14.0,2.0,0.0,3.0,9.0,2.0,2.0,3.0,7.0,0.0,0.0,3027.0,0.0,0.0,0.0,1.0,5.823,0.668,0.665,0.669,0.666,6.0,2.0,1.0,9.0,2.0,0.0,0.0,7.0,0.0,1.0,0.073,0.0,0.595,1.0,0.0,1.0,8.975,8.0,7.994,0.062,0.0,0.0,0.73,0.732,0.729,4.122,0.683,0.61,0.675,0.602,3.0,2.0,1.0,6.0,1.0,1.0,1.0,3.0,1.0,1.0,0.025,0.142,0.516,0.0,0.0,1.0,6.036,5.0,5.07,0.051,0.516,0.516,0.218,0.21,0.208,1.025,1.443,39.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0
8476871,2013,Tanner Pearson,2013020285,L.A,N.J,AWAY,20131115,L,all,535.0,12.0,-0.35,0.0,0.4942,0.0909,0.5342,0.0,0.4909,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,2.0,2.0,6.0,1.0,3.0,1.0,7.0,0.0,0.0,3065.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.334,0.326,0.312,0.311,0.298,6.0,1.0,3.0,10.0,0.0,0.0,0.0,6.0,1.0,0.0,0.143,0.183,0.0,0.0,0.0,0.0,9.7,7.0,6.798,0.069,0.0,0.0,0.395,0.377,0.362,1.287,1.317,39.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0
8476871,2013,Tanner Pearson,2013020305,L.A,NYR,AWAY,20131117,L,all,514.0,12.0,-0.35,0.0611,0.6152,0.3,0.5288,0.2143,0.5195,12.0,0.761,0.007,0.022,0.258,0.025,0.393,0.294,0.007,0.008,0.008,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0,1.103,1.0,1.1,0.0,0.004,0.0,0.0,0.012,0.013,0.013,12.0,1.0,0.0,2.0,9.0,1.0,4.0,0.0,7.0,0.0,0.0,3086.0,0.0,0.0,0.0,1.0,2.147,0.032,0.031,0.033,0.032,1.0,2.0,3.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,0.032,0.0,0.0,0.0,0.0,0.0,6.231,3.0,3.131,0.026,0.0,0.0,0.058,0.06,0.057,8.049,0.492,0.483,0.466,0.458,8.0,3.0,3.0,14.0,0.0,1.0,0.0,9.0,2.0,0.0,0.218,0.275,0.0,0.0,0.0,0.0,13.225,11.0,10.438,0.104,0.037,0.037,0.559,0.529,0.52,3.351,2.096,55.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0
8476871,2013,Tanner Pearson,2013020321,L.A,T.B,HOME,20131119,L,all,714.0,16.0,0.325,0.4814,0.5588,0.7143,0.5949,0.8333,0.5652,10.0,0.713,0.008,0.034,0.158,0.022,0.48,0.298,0.008,0.008,0.008,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,1.132,1.0,1.05,0.0,0.007,0.0,0.0,0.014,0.015,0.015,16.0,1.0,1.0,1.0,13.0,3.0,2.0,1.0,10.0,0.0,0.0,2886.0,0.0,0.0,0.0,0.0,6.43,0.31,0.307,0.304,0.302,7.0,3.0,0.0,10.0,0.0,1.0,0.0,9.0,1.0,0.0,0.173,0.137,0.0,0.0,0.0,0.0,10.702,10.0,10.215,0.082,0.137,0.137,0.254,0.254,0.254,1.753,0.334,0.334,0.323,0.323,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.046,0.0,0.288,0.0,0.0,0.0,3.58,2.0,1.909,0.038,0.0,0.0,0.372,0.36,0.36,2.339,1.847,47.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
8476871,2013,Tanner Pearson,2013020334,L.A,N.J,HOME,20131121,L,all,592.0,13.0,0.2,0.9076,0.6847,0.7083,0.6556,0.75,0.6377,12.0,2.559,0.476,0.339,0.469,0.075,1.107,0.534,0.4,0.468,0.393,0.0,0.0,2.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.476,0.0,0.0,0.0,0.0,3.94,3.0,2.971,1.0,0.082,0.0,0.351,0.207,0.206,0.162,13.0,2.0,2.0,1.0,8.0,0.0,2.0,2.0,9.0,0.0,0.0,3158.0,0.0,0.0,0.0,0.0,9.444,1.366,1.283,1.324,1.244,10.0,2.0,5.0,17.0,0.0,4.0,0.0,4.0,7.0,1.0,0.089,1.037,0.24,0.0,0.0,0.0,16.67,12.0,11.798,0.215,0.79,0.79,0.791,0.772,0.726,3.154,0.139,0.138,0.146,0.145,3.0,1.0,3.0,7.0,1.0,0.0,0.0,3.0,1.0,0.0,0.053,0.085,0.0,1.0,0.0,0.0,7.295,4.0,4.192,0.052,0.0,0.0,0.191,0.201,0.201,1.978,0.911,59.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0
8476871,2013,Tanner Pearson,2013020351,L.A,COL,HOME,20131123,L,all,711.0,15.0,0.075,0.5,0.4902,0.4348,0.4789,0.3158,0.4259,8.0,1.189,0.146,0.084,0.258,0.048,0.844,0.62,0.146,0.139,0.139,0.0,0.0,1.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.031,0.115,0.0,0.0,0.0,0.0,3.88,2.0,1.942,0.0,0.018,0.0,0.0,0.163,0.156,0.156,15.0,1.0,1.0,1.0,12.0,3.0,2.0,1.0,9.0,0.0,0.0,3041.0,0.0,2.0,1.0,0.0,4.489,0.675,0.672,0.644,0.642,5.0,1.0,4.0,10.0,0.0,1.0,0.0,3.0,1.0,2.0,0.059,0.115,0.501,0.0,0.0,0.0,9.7,6.0,5.827,0.064,0.291,0.291,0.447,0.427,0.427,9.825,0.675,0.672,0.708,0.705,9.0,4.0,0.0,13.0,0.0,1.0,0.0,10.0,3.0,0.0,0.269,0.406,0.0,0.0,0.0,0.0,13.416,13.0,13.396,0.138,0.136,0.136,0.677,0.71,0.707,1.319,1.372,34.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0
8476871,2013,Tanner Pearson,2013020695,L.A,VAN,HOME,20140113,L,all,439.0,9.0,0.125,0.7488,0.6623,0.5833,0.5,0.5,0.4655,11.0,0.694,0.024,0.036,0.169,0.019,0.45,0.302,0.024,0.023,0.023,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.024,0.0,0.0,0.0,0.0,0.0,0.97,1.0,0.971,0.0,0.007,0.0,0.0,0.031,0.03,0.03,9.0,1.0,0.0,1.0,7.0,2.0,1.0,1.0,5.0,0.0,0.0,3161.0,0.0,0.0,0.0,0.0,2.972,0.158,0.158,0.155,0.155,3.0,1.0,3.0,7.0,0.0,0.0,0.0,4.0,0.0,0.0,0.158,0.0,0.0,0.0,0.0,0.0,6.936,4.0,3.942,0.043,0.0,0.0,0.201,0.198,0.198,2.858,0.053,0.053,0.054,0.054,3.0,1.0,1.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,0.053,0.0,0.0,0.0,0.0,0.0,4.982,4.0,3.959,0.021,0.0,0.0,0.074,0.075,0.075,2.704,1.379,39.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0
8476871,2013,Tanner Pearson,2013020751,L.A,CBJ,AWAY,20140121,L,all,615.0,14.0,0.45,0.9087,0.3564,0.7857,0.4624,0.6667,0.4324,11.0,1.488,0.023,0.063,0.411,0.048,0.762,0.693,0.023,0.023,0.023,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.023,0.0,0.0,0.0,0.0,0.0,1.872,2.0,1.909,0.0,0.012,0.0,0.0,0.036,0.035,0.035,14.0,0.0,0.0,2.0,12.0,2.0,1.0,1.0,10.0,0.0,0.0,2985.0,0.0,0.0,0.0,0.0,2.924,0.189,0.189,0.189,0.189,4.0,0.0,7.0,11.0,0.0,0.0,0.0,3.0,1.0,0.0,0.054,0.135,0.0,0.0,0.0,0.0,10.893,4.0,3.873,0.044,0.0,0.0,0.233,0.233,0.233,1.612,0.019,0.019,0.018,0.018,2.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.019,0.0,0.0,0.0,0.0,0.0,2.966,2.0,2.01,0.007,0.0,0.0,0.026,0.025,0.025,1.43,2.582,43.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
8476871,2013,Tanner Pearson,2013020884,L.A,COL,AWAY,20140226,L,all,591.0,15.0,-0.15,0.4333,0.4447,0.4118,0.4731,0.5,0.4412,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,2.0,5.0,2.0,6.0,0.0,3.0,3.0,9.0,0.0,0.0,3009.0,0.0,0.0,0.0,0.0,4.179,0.25,0.249,0.265,0.264,3.0,3.0,1.0,7.0,1.0,1.0,0.0,5.0,1.0,0.0,0.115,0.134,0.0,0.0,1.0,0.0,7.437,6.0,6.393,0.051,0.025,0.025,0.276,0.292,0.292,4.711,0.327,0.326,0.316,0.315,4.0,2.0,4.0,10.0,1.0,1.0,0.0,5.0,1.0,0.0,0.156,0.171,0.0,0.0,1.0,0.0,9.427,6.0,5.675,0.063,0.03,0.03,0.361,0.349,0.349,2.578,3.219,44.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0
8476871,2013,Tanner Pearson,2013020908,L.A,CAR,HOME,20140301,L,all,638.0,17.0,0.45,0.4452,0.7307,0.5,0.6296,0.55,0.5915,12.0,2.226,0.119,0.114,0.569,0.072,1.197,0.928,0.119,0.118,0.118,0.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,0.119,0.0,0.0,0.0,0.0,0.0,3.022,3.0,3.048,1.0,0.023,0.0,0.0,0.142,0.14,0.14,17.0,2.0,5.0,4.0,6.0,6.0,2.0,1.0,8.0,0.0,0.0,2962.0,0.0,2.0,1.0,0.0,7.469,0.475,0.473,0.461,0.459,8.0,3.0,0.0,11.0,1.0,0.0,0.0,9.0,2.0,0.0,0.279,0.196,0.0,1.0,0.0,0.0,10.838,11.0,10.885,0.097,0.0,0.0,0.572,0.555,0.553,7.031,0.592,0.589,0.616,0.614,7.0,2.0,2.0,11.0,0.0,0.0,0.0,7.0,1.0,1.0,0.255,0.09,0.247,0.0,0.0,0.0,11.124,9.0,9.076,0.105,0.0,0.0,0.696,0.724,0.722,3.429,1.264,51.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0
