gameId,teamAbbrev,homeRoadFlag,gameDate,goals,assists,commonName,opponentCommonName,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,shorthandedGoals,shorthandedPoints,opponentAbbrev,pim,toi,season
2025021102,LAK,H,2026-03-21,0,0,{'default': 'Kings'},{'default': 'Sabres'},0,-1,0,0,0,0,0,14,0,0,BUF,0,9:45,2025
2025021093,LAK,H,2026-03-19,0,0,{'default': 'Kings'},{'default': 'Flyers'},0,0,0,0,0,0,0,11,0,0,PHI,0,8:12,2025
2025021065,LAK,R,2026-03-16,0,0,{'default': 'Kings'},{'default': 'Rangers'},0,0,0,0,0,0,0,15,0,0,NYR,0,11:28,2025
2025021050,LAK,R,2026-03-14,1,0,{'default': 'Kings'},{'default': 'Devils'},1,1,0,0,0,0,2,15,0,0,NJD,0,9:44,2025
2025021041,LAK,R,2026-03-13,0,0,{'default': 'Kings'},{'default': 'Islanders'},0,0,0,0,0,0,0,12,0,0,NYI,2,7:04,2025
2025021012,LAK,R,2026-03-10,0,0,{'default': 'Kings'},{'default': 'Bruins'},0,0,0,0,0,0,0,11,0,0,BOS,0,8:05,2025
2025020828,LAK,R,2026-03-09,0,0,{'default': 'Kings'},{'default': 'Blue Jackets'},0,1,0,0,0,0,0,11,0,0,CBJ,0,6:06,2025
2025020997,LAK,H,2026-03-07,0,0,{'default': 'Kings'},{'default': 'Canadiens'},0,-2,0,0,0,0,2,10,0,0,MTL,0,8:04,2025
2025020982,LAK,H,2026-03-05,0,1,{'default': 'Kings'},{'default': 'Islanders'},1,1,0,0,0,0,3,12,0,0,NYI,0,8:08,2025
2025020958,LAK,H,2026-03-02,0,0,{'default': 'Kings'},{'default': 'Avalanche'},0,0,0,0,0,0,0,19,0,0,COL,0,12:01,2025
2025020944,LAK,H,2026-02-28,0,0,{'default': 'Kings'},{'default': 'Flames'},0,0,0,0,0,0,5,13,0,0,CGY,0,10:10,2025
2025020929,LAK,H,2026-02-26,0,0,{'default': 'Kings'},{'default': 'Oilers'},0,-2,0,0,0,0,3,18,0,0,EDM,0,14:02,2025
2025020909,LAK,R,2026-02-05,0,0,{'default': 'Kings'},{'default': 'Golden Knights'},0,0,0,0,0,0,3,14,0,0,VGK,0,11:25,2025
2025020902,LAK,H,2026-02-04,0,0,{'default': 'Kings'},{'default': 'Kraken'},0,-1,0,0,0,0,2,9,0,0,SEA,0,7:25,2025
2025020874,LAK,R,2026-02-01,0,0,{'default': 'Kings'},{'default': 'Hurricanes'},0,1,0,0,0,0,0,12,0,0,CAR,0,8:30,2025
2025020859,LAK,R,2026-01-31,0,0,{'default': 'Kings'},{'default': 'Flyers'},0,0,0,0,0,0,0,16,0,0,PHI,0,13:03,2025
2025020844,LAK,R,2026-01-29,0,0,{'default': 'Kings'},{'default': 'Sabres'},0,-1,0,0,0,0,3,15,0,0,BUF,0,11:48,2025
2025020833,LAK,R,2026-01-27,0,0,{'default': 'Kings'},{'default': 'Red Wings'},0,1,0,0,0,0,1,15,0,0,DET,0,10:48,2025
2025020816,LAK,R,2026-01-24,1,0,{'default': 'Kings'},{'default': 'Blues'},1,1,0,0,0,0,1,14,0,0,STL,0,9:48,2025
2025020787,LAK,H,2026-01-20,1,0,{'default': 'Kings'},{'default': 'Rangers'},1,0,0,0,0,0,2,11,0,0,NYR,0,9:00,2025
2025020766,LAK,R,2026-01-17,0,0,{'default': 'Kings'},{'default': 'Ducks'},0,0,0,0,0,0,1,17,0,0,ANA,0,12:41,2025
2025020753,LAK,H,2026-01-16,0,0,{'default': 'Kings'},{'default': 'Ducks'},0,-1,0,0,0,0,0,14,0,0,ANA,0,11:02,2025
2025020738,LAK,H,2026-01-14,0,0,{'default': 'Kings'},{'default': 'Golden Knights'},0,0,0,0,0,0,1,18,0,0,VGK,0,14:31,2025
2025020724,LAK,H,2026-01-12,0,0,{'default': 'Kings'},{'default': 'Stars'},0,0,0,0,0,0,0,14,0,0,DAL,0,9:35,2025
2025020709,LAK,R,2026-01-10,0,1,{'default': 'Kings'},{'default': 'Oilers'},1,1,0,0,0,0,1,13,0,0,EDM,0,8:49,2025
2025020695,LAK,R,2026-01-09,0,1,{'default': 'Kings'},{'default': 'Jets'},1,1,0,0,0,0,0,20,0,0,WPG,0,15:30,2025
2025020681,LAK,H,2026-01-07,0,0,{'default': 'Kings'},{'default': 'Sharks'},0,1,0,0,0,0,1,17,0,0,SJS,0,10:20,2025
2024020653,LAK,H,2025-04-17,1,0,{'default': 'Kings'},{'default': 'Flames'},1,0,1,1,0,0,4,19,0,0,CGY,0,14:52,2024
