playerId,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8478414,2016,Timo Meier,2016020455,S.J,MTL,AWAY,20161216,R,all,603.0,18.0,0.925,0.6034,0.3648,0.4444,0.3824,0.4545,0.4444,10.0,2.639,0.48,0.269,0.418,0.065,1.03,0.738,0.48,0.553,0.553,0.0,0.0,3.0,0.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.073,0.162,0.245,0.0,1.0,0.0,4.796,3.0,3.483,0.0,0.058,0.0,0.0,0.539,0.62,0.62,18.0,2.0,1.0,3.0,12.0,1.0,7.0,3.0,7.0,0.0,0.0,2997.0,0.0,0.0,0.0,0.0,4.3,0.741,0.74,0.853,0.852,4.0,1.0,3.0,8.0,1.0,0.0,0.0,2.0,1.0,2.0,0.129,0.162,0.45,0.0,1.0,0.0,9.541,5.0,5.804,0.087,0.0,0.0,0.828,0.953,0.952,4.626,0.487,0.487,0.433,0.433,5.0,1.0,4.0,10.0,1.0,0.0,0.0,3.0,3.0,0.0,0.154,0.332,0.0,1.0,0.0,0.0,8.715,6.0,5.308,0.082,0.0,0.0,0.568,0.506,0.506,2.087,3.634,39.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0
8478414,2016,Timo Meier,2016020474,S.J,CHI,AWAY,20161218,R,all,878.0,21.0,0.7,0.6545,0.4183,0.7037,0.481,0.75,0.4483,7.0,3.51,0.282,0.266,0.867,0.224,1.96,1.4,0.272,0.302,0.291,0.0,0.0,4.0,1.0,3.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,4.0,5.0,1.0,2.0,0.0,1.0,2.0,0.0,4.0,1.0,0.0,0.145,0.137,0.0,0.0,0.0,0.0,8.341,5.0,5.156,0.0,0.055,0.0,0.137,0.2,0.21,0.209,21.0,2.0,2.0,5.0,12.0,3.0,2.0,4.0,12.0,0.0,0.0,2722.0,2.0,0.0,0.0,0.0,8.737,0.828,0.814,0.881,0.866,11.0,1.0,7.0,19.0,0.0,2.0,0.0,9.0,2.0,1.0,0.296,0.295,0.237,0.0,0.0,0.0,19.863,12.0,12.649,0.14,0.375,0.375,0.594,0.631,0.629,3.14,0.437,0.428,0.416,0.407,3.0,1.0,4.0,8.0,0.0,0.0,0.0,2.0,1.0,1.0,0.037,0.163,0.237,0.0,0.0,0.0,7.596,4.0,3.897,0.048,0.0,0.0,0.485,0.462,0.45,1.303,1.812,38.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0
8478414,2016,Timo Meier,2016020492,S.J,CGY,HOME,20161220,R,all,764.0,17.0,0.25,0.7774,0.6525,0.5556,0.5567,0.5833,0.5811,10.0,3.928,0.433,0.277,0.723,0.104,1.969,1.493,0.433,0.436,0.436,0.0,0.0,4.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,4.0,5.0,0.0,0.0,0.0,4.0,0.0,2.0,3.0,2.0,0.0,0.137,0.297,0.0,0.0,0.0,0.0,6.362,5.0,5.093,1.0,0.057,0.0,0.0,0.49,0.492,0.492,17.0,2.0,1.0,5.0,9.0,4.0,1.0,2.0,10.0,0.0,0.0,2836.0,0.0,0.0,0.0,0.0,5.344,0.639,0.639,0.632,0.632,6.0,1.0,3.0,10.0,0.0,0.0,0.0,4.0,3.0,0.0,0.153,0.486,0.0,0.0,0.0,0.0,10.242,7.0,7.036,0.074,0.0,0.0,0.713,0.705,0.705,3.57,0.183,0.183,0.179,0.179,5.0,0.0,3.0,8.0,1.0,0.0,0.0,4.0,1.0,0.0,0.08,0.104,0.0,0.0,1.0,0.0,7.338,5.0,4.848,0.036,0.0,0.0,0.22,0.215,0.215,3.196,1.702,54.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0
8478414,2016,Timo Meier,2016020516,S.J,EDM,HOME,20161223,R,all,616.0,20.0,0.2,0.7431,0.7836,0.5294,0.5556,0.6364,0.5652,11.0,3.715,0.391,0.245,0.804,0.105,1.999,1.456,0.382,0.38,0.371,0.0,0.0,4.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,4.0,5.0,1.0,2.0,0.0,3.0,2.0,3.0,3.0,2.0,0.0,0.115,0.276,0.0,0.0,0.0,0.0,5.988,5.0,4.991,1.0,0.05,0.0,0.0,0.441,0.428,0.419,20.0,2.0,0.0,7.0,11.0,3.0,5.0,2.0,10.0,0.0,0.0,3186.0,2.0,0.0,0.0,0.0,5.133,0.515,0.506,0.503,0.494,5.0,2.0,2.0,9.0,0.0,0.0,0.0,4.0,3.0,0.0,0.132,0.383,0.0,0.0,0.0,0.0,9.01,7.0,7.0,0.071,0.0,0.0,0.586,0.572,0.563,2.871,0.178,0.178,0.183,0.183,2.0,2.0,4.0,8.0,0.0,0.0,0.0,3.0,1.0,0.0,0.081,0.096,0.0,0.0,0.0,0.0,8.028,4.0,3.99,0.033,0.0,0.0,0.211,0.217,0.217,2.545,0.703,50.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0
8478414,2016,Timo Meier,2016020526,S.J,ANA,AWAY,20161227,R,all,753.0,19.0,0.05,0.4335,0.3243,0.4074,0.4022,0.375,0.3623,10.0,3.05,0.268,0.204,0.939,0.116,1.388,1.085,0.263,0.294,0.288,0.0,0.0,4.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,4.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,1.0,0.0,0.083,0.185,0.0,0.0,0.0,0.0,6.618,4.0,4.402,0.0,0.042,0.0,0.185,0.125,0.137,0.137,19.0,3.0,2.0,2.0,12.0,2.0,4.0,4.0,9.0,0.0,0.0,3013.0,0.0,0.0,0.0,0.0,6.794,0.495,0.49,0.536,0.53,8.0,1.0,2.0,11.0,0.0,1.0,0.0,8.0,1.0,0.0,0.311,0.185,0.0,0.0,0.0,0.0,11.991,9.0,9.764,0.099,0.185,0.185,0.409,0.44,0.44,10.927,0.647,0.632,0.597,0.583,7.0,8.0,1.0,16.0,0.0,1.0,0.0,13.0,2.0,0.0,0.339,0.308,0.0,0.0,0.0,0.0,14.86,15.0,13.965,0.159,0.194,0.194,0.612,0.566,0.552,1.313,2.736,37.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0
8478414,2016,Timo Meier,2016020547,S.J,PHI,HOME,20161230,R,all,707.0,16.0,0.275,0.675,0.689,0.55,0.5238,0.5882,0.5862,11.0,3.066,0.185,0.232,0.756,0.088,1.784,0.956,0.185,0.184,0.184,0.0,0.0,3.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,3.0,4.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,1.0,0.0,0.064,0.12,0.0,0.0,0.0,0.0,4.022,4.0,4.048,0.0,0.054,0.0,0.0,0.239,0.237,0.237,16.0,1.0,0.0,1.0,14.0,5.0,2.0,2.0,7.0,0.0,0.0,2893.0,0.0,0.0,0.0,0.0,7.538,0.648,0.647,0.644,0.643,8.0,2.0,1.0,11.0,0.0,0.0,0.0,7.0,2.0,1.0,0.209,0.239,0.2,0.0,0.0,0.0,11.14,10.0,10.156,0.128,0.0,0.0,0.776,0.771,0.77,4.686,0.312,0.312,0.314,0.314,3.0,4.0,2.0,9.0,0.0,0.0,0.0,6.0,1.0,0.0,0.206,0.106,0.0,0.0,0.0,0.0,8.889,7.0,6.816,0.051,0.0,0.0,0.363,0.365,0.365,2.816,1.271,44.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0
8478414,2016,Timo Meier,2016020558,S.J,L.A,AWAY,20161231,R,all,822.0,20.0,-0.2,0.1784,0.5203,0.3333,0.4419,0.3077,0.4531,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,2.0,2.0,2.0,14.0,1.0,3.0,3.0,13.0,0.0,0.0,2778.0,0.0,0.0,0.0,1.0,2.967,0.119,0.119,0.123,0.123,3.0,1.0,2.0,6.0,0.0,0.0,0.0,4.0,0.0,0.0,0.119,0.0,0.0,0.0,0.0,0.0,5.886,4.0,3.913,0.03,0.0,0.0,0.149,0.153,0.153,6.286,0.548,0.535,0.549,0.537,3.0,6.0,3.0,12.0,2.0,0.0,0.0,6.0,3.0,0.0,0.218,0.331,0.0,2.0,0.0,0.0,12.304,9.0,9.216,0.088,0.0,0.0,0.636,0.638,0.624,1.991,1.836,38.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
8478414,2016,Timo Meier,2016020571,S.J,L.A,HOME,20170103,R,all,839.0,21.0,-0.01,0.4363,0.3983,0.4074,0.4731,0.4167,0.4844,9.0,1.469,0.113,0.171,0.358,0.058,0.833,0.466,0.113,0.108,0.108,0.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,1.0,0.0,0.017,0.097,0.0,0.0,0.0,0.0,2.91,2.0,1.942,0.0,0.037,0.0,0.0,0.15,0.144,0.144,21.0,4.0,3.0,1.0,13.0,4.0,6.0,1.0,10.0,0.0,1.0,2819.0,0.0,0.0,0.0,0.0,6.793,0.438,0.433,0.419,0.414,9.0,1.0,1.0,11.0,0.0,0.0,0.0,7.0,3.0,0.0,0.145,0.293,0.0,0.0,0.0,0.0,10.782,10.0,9.847,0.109,0.0,0.0,0.547,0.524,0.517,10.233,0.566,0.563,0.582,0.578,11.0,3.0,2.0,16.0,0.0,0.0,0.0,11.0,3.0,0.0,0.266,0.3,0.0,0.0,0.0,0.0,16.277,14.0,14.167,0.133,0.0,0.0,0.7,0.718,0.714,1.874,2.831,44.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0
8478414,2016,Timo Meier,2016020584,S.J,MIN,HOME,20170105,R,all,964.0,22.0,0.325,0.3303,0.4891,0.4828,0.5275,0.4211,0.5147,6.0,2.918,0.138,0.185,0.76,0.089,1.614,1.214,0.138,0.136,0.136,0.0,0.0,3.0,1.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,4.0,0.0,0.0,0.0,3.0,2.0,3.0,4.0,0.0,0.0,0.138,0.0,0.0,0.0,0.0,0.0,5.973,4.0,4.043,1.0,0.038,0.0,0.0,0.176,0.174,0.174,22.0,2.0,1.0,5.0,14.0,2.0,4.0,4.0,12.0,0.0,0.0,2636.0,0.0,0.0,0.0,1.0,5.655,0.257,0.257,0.249,0.249,5.0,3.0,6.0,14.0,0.0,0.0,0.0,8.0,0.0,0.0,0.257,0.0,0.0,0.0,0.0,0.0,13.942,8.0,7.873,0.069,0.0,0.0,0.326,0.315,0.315,7.56,0.521,0.519,0.539,0.537,5.0,6.0,4.0,15.0,0.0,0.0,0.0,9.0,2.0,0.0,0.275,0.246,0.0,0.0,0.0,0.0,15.248,11.0,11.104,0.107,0.0,0.0,0.628,0.648,0.646,3.192,3.334,48.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0
8478414,2016,Timo Meier,2016020602,S.J,DET,HOME,20170107,R,all,930.0,22.0,1.3,0.4647,0.6005,0.5641,0.4659,0.5,0.4627,7.0,3.903,0.288,0.261,1.018,0.111,2.027,1.295,0.276,0.267,0.256,0.0,1.0,4.0,1.0,5.0,10.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,4.0,5.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.091,0.197,0.0,0.0,0.0,0.0,10.064,5.0,4.825,1.0,0.053,0.0,0.0,0.341,0.317,0.304,22.0,1.0,3.0,2.0,16.0,2.0,3.0,4.0,13.0,0.0,0.0,2670.0,0.0,0.0,0.0,0.0,10.281,0.915,0.896,0.899,0.881,12.0,2.0,8.0,22.0,2.0,0.0,0.0,9.0,5.0,0.0,0.288,0.627,0.0,2.0,0.0,0.0,22.902,14.0,14.149,0.149,0.0,0.0,1.064,1.046,1.025,10.959,1.054,0.998,1.051,0.996,11.0,3.0,3.0,17.0,1.0,1.0,1.0,9.0,4.0,1.0,0.238,0.499,0.317,0.0,0.0,1.0,16.42,14.0,13.776,0.173,0.023,0.34,0.887,0.895,0.867,2.441,1.624,41.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0
