gameId,teamAbbrev,homeRoadFlag,gameDate,goals,assists,commonName,opponentCommonName,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,shorthandedGoals,shorthandedPoints,opponentAbbrev,pim,toi,season
2025020911,PHI,R,2026-02-25,0,0,{'default': 'Flyers'},{'default': 'Capitals'},0,-1,0,0,0,0,1,22,0,0,WSH,0,19:10,2025
2025020907,PHI,H,2026-02-05,0,1,{'default': 'Flyers'},"{'default': 'Senators', 'fr': 'Sénateurs'}",1,0,0,0,0,0,1,20,0,0,OTT,0,21:17,2025
2025020889,PHI,H,2026-02-03,0,1,{'default': 'Flyers'},{'default': 'Capitals'},1,0,0,1,0,0,3,19,0,0,WSH,0,18:39,2025
2025020859,PHI,H,2026-01-31,1,0,{'default': 'Flyers'},{'default': 'Kings'},1,-2,1,1,0,0,2,22,0,0,LAK,0,18:44,2025
2025020843,PHI,R,2026-01-29,0,0,{'default': 'Flyers'},{'default': 'Bruins'},0,-2,0,0,0,0,0,21,0,0,BOS,0,16:41,2025
2025020840,PHI,R,2026-01-28,0,0,{'default': 'Flyers'},{'default': 'Blue Jackets'},0,-1,0,0,0,0,6,23,0,0,CBJ,0,21:20,2025
2025020827,PHI,H,2026-01-26,0,0,{'default': 'Flyers'},{'default': 'Islanders'},0,-1,0,0,0,0,1,20,0,0,NYI,0,15:24,2025
2025020805,PHI,R,2026-01-23,0,0,{'default': 'Flyers'},{'default': 'Avalanche'},0,-1,0,0,0,0,1,22,0,0,COL,0,15:12,2025
2025020790,PHI,R,2026-01-21,0,2,{'default': 'Flyers'},{'default': 'Mammoth'},2,2,0,2,0,0,2,25,0,0,UTA,0,20:43,2025
2025020775,PHI,R,2026-01-19,0,0,{'default': 'Flyers'},{'default': 'Golden Knights'},0,1,0,0,0,0,0,18,0,0,VGK,0,14:44,2025
2025020755,PHI,H,2026-01-17,1,1,{'default': 'Flyers'},{'default': 'Rangers'},2,1,0,0,0,0,3,25,0,0,NYR,0,19:12,2025
2025020741,PHI,R,2026-01-15,0,0,{'default': 'Flyers'},{'default': 'Penguins'},0,0,0,0,0,0,2,20,0,0,PIT,0,17:16,2025
2025020736,PHI,R,2026-01-14,1,0,{'default': 'Flyers'},{'default': 'Sabres'},1,-3,1,1,0,0,7,23,0,0,BUF,2,23:07,2025
