gameId,teamAbbrev,homeRoadFlag,gameDate,goals,assists,commonName,opponentCommonName,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,shorthandedGoals,shorthandedPoints,opponentAbbrev,toi,pim,season
2025021058,OTT,H,2026-03-15,1,0,"{'default': 'Senators', 'fr': 'Sénateurs'}",{'default': 'Sharks'},1,1,0,0,0,0,2,26,0,0,SJS,19:31,0,2025
2025021043,OTT,H,2026-03-14,0,0,"{'default': 'Senators', 'fr': 'Sénateurs'}",{'default': 'Ducks'},0,0,0,0,0,0,0,27,0,0,ANA,20:15,2,2025
2025021025,OTT,H,2026-03-11,0,0,"{'default': 'Senators', 'fr': 'Sénateurs'}",{'default': 'Canadiens'},0,0,0,0,0,0,2,26,0,0,MTL,19:49,0,2025
2025021011,OTT,R,2026-03-09,0,0,"{'default': 'Senators', 'fr': 'Sénateurs'}",{'default': 'Canucks'},0,0,0,0,0,0,1,26,0,0,VAN,18:51,0,2025
2025021000,OTT,R,2026-03-07,1,0,"{'default': 'Senators', 'fr': 'Sénateurs'}",{'default': 'Kraken'},1,2,0,0,0,0,1,29,0,0,SEA,19:13,17,2025
2025020981,OTT,R,2026-03-05,0,0,"{'default': 'Senators', 'fr': 'Sénateurs'}",{'default': 'Flames'},0,1,0,0,0,0,0,26,0,0,CGY,15:27,0,2025
2025020966,OTT,R,2026-03-03,0,0,"{'default': 'Senators', 'fr': 'Sénateurs'}",{'default': 'Oilers'},0,-1,0,0,0,0,0,22,0,0,EDM,13:55,2,2025
2025020939,OTT,R,2026-02-28,0,0,"{'default': 'Senators', 'fr': 'Sénateurs'}",{'default': 'Maple Leafs'},0,-2,0,0,0,0,0,22,0,0,TOR,16:46,0,2025
2025020920,OTT,H,2026-02-26,0,0,"{'default': 'Senators', 'fr': 'Sénateurs'}",{'default': 'Red Wings'},0,0,0,0,0,0,1,20,0,0,DET,13:58,2,2025
2025020907,OTT,R,2026-02-05,0,0,"{'default': 'Senators', 'fr': 'Sénateurs'}",{'default': 'Flyers'},0,0,0,0,0,0,1,23,0,0,PHI,15:29,0,2025
2025020890,OTT,R,2026-02-03,0,0,"{'default': 'Senators', 'fr': 'Sénateurs'}",{'default': 'Hurricanes'},0,1,0,0,0,0,1,21,0,0,CAR,16:28,0,2025
2025020877,OTT,R,2026-02-02,0,1,"{'default': 'Senators', 'fr': 'Sénateurs'}",{'default': 'Penguins'},1,2,0,0,0,0,2,18,0,0,PIT,12:37,0,2025
2025020866,OTT,H,2026-01-31,0,0,"{'default': 'Senators', 'fr': 'Sénateurs'}",{'default': 'Devils'},0,0,0,0,0,0,5,27,0,0,NJD,19:33,4,2025
2025020841,OTT,H,2026-01-28,0,1,"{'default': 'Senators', 'fr': 'Sénateurs'}",{'default': 'Avalanche'},1,0,0,0,0,0,1,20,0,0,COL,13:59,0,2025
2025020821,OTT,H,2026-01-25,0,2,"{'default': 'Senators', 'fr': 'Sénateurs'}",{'default': 'Golden Knights'},2,2,0,0,0,0,2,27,0,0,VGK,19:46,0,2025
2025020813,OTT,H,2026-01-24,0,0,"{'default': 'Senators', 'fr': 'Sénateurs'}",{'default': 'Hurricanes'},0,0,0,0,0,0,0,27,0,0,CAR,20:54,0,2025
2025020798,OTT,R,2026-01-22,0,0,"{'default': 'Senators', 'fr': 'Sénateurs'}",{'default': 'Predators'},0,-1,0,0,0,0,2,23,0,0,NSH,16:00,0,2025
2025020782,OTT,R,2026-01-20,1,0,"{'default': 'Senators', 'fr': 'Sénateurs'}",{'default': 'Blue Jackets'},1,1,0,0,0,0,2,24,0,0,CBJ,15:30,2,2025
2025020768,OTT,R,2026-01-18,0,0,"{'default': 'Senators', 'fr': 'Sénateurs'}",{'default': 'Red Wings'},0,0,0,0,0,0,0,25,0,0,DET,16:44,0,2025
2025020758,OTT,H,2026-01-17,0,0,"{'default': 'Senators', 'fr': 'Sénateurs'}",{'default': 'Canadiens'},0,1,0,0,0,0,2,24,0,0,MTL,15:57,0,2025
2025020737,OTT,R,2026-01-14,0,0,"{'default': 'Senators', 'fr': 'Sénateurs'}",{'default': 'Rangers'},0,2,0,0,0,0,1,24,0,0,NYR,16:02,0,2025
2025020725,OTT,H,2026-01-13,0,0,"{'default': 'Senators', 'fr': 'Sénateurs'}",{'default': 'Canucks'},0,1,0,0,0,0,0,24,0,0,VAN,16:40,0,2025
2025020704,OTT,H,2026-01-10,0,0,"{'default': 'Senators', 'fr': 'Sénateurs'}",{'default': 'Panthers'},0,0,0,0,0,0,1,20,0,0,FLA,14:26,0,2025
2025020691,OTT,R,2026-01-08,0,1,"{'default': 'Senators', 'fr': 'Sénateurs'}",{'default': 'Avalanche'},1,1,0,0,0,0,1,27,0,1,COL,19:01,5,2025
2025020680,OTT,R,2026-01-07,0,0,"{'default': 'Senators', 'fr': 'Sénateurs'}",{'default': 'Mammoth'},0,0,0,0,0,0,1,21,0,0,UTA,13:43,0,2025
2025020664,OTT,H,2026-01-05,0,0,"{'default': 'Senators', 'fr': 'Sénateurs'}",{'default': 'Red Wings'},0,1,0,0,0,0,2,24,0,0,DET,13:25,2,2025
2025020650,OTT,H,2026-01-03,0,0,"{'default': 'Senators', 'fr': 'Sénateurs'}",{'default': 'Jets'},0,0,0,0,0,0,2,23,0,0,WPG,15:48,0,2025
2025020632,OTT,H,2026-01-01,0,0,"{'default': 'Senators', 'fr': 'Sénateurs'}",{'default': 'Capitals'},0,-1,0,0,0,0,0,20,0,0,WSH,13:31,0,2025
2025020606,OTT,H,2025-12-29,0,0,"{'default': 'Senators', 'fr': 'Sénateurs'}",{'default': 'Blue Jackets'},0,-1,0,0,0,0,0,17,0,0,CBJ,13:56,0,2025
2025020551,OTT,H,2025-12-20,0,1,"{'default': 'Senators', 'fr': 'Sénateurs'}",{'default': 'Blackhawks'},1,1,0,0,0,0,0,9,0,0,CHI,6:47,0,2025
2025020537,OTT,H,2025-12-18,0,0,"{'default': 'Senators', 'fr': 'Sénateurs'}",{'default': 'Penguins'},0,1,0,0,0,0,2,23,0,0,PIT,18:45,0,2025
2025020516,OTT,R,2025-12-15,0,0,"{'default': 'Senators', 'fr': 'Sénateurs'}",{'default': 'Jets'},0,-1,0,0,0,0,1,24,0,0,WPG,18:13,0,2025
2025020496,OTT,R,2025-12-13,0,0,"{'default': 'Senators', 'fr': 'Sénateurs'}",{'default': 'Wild'},0,-1,0,0,0,0,2,26,0,0,MIN,17:20,2,2025
2025020486,OTT,R,2025-12-11,0,0,"{'default': 'Senators', 'fr': 'Sénateurs'}",{'default': 'Blue Jackets'},0,0,0,0,0,0,1,27,0,0,CBJ,17:12,0,2025
2025020467,OTT,H,2025-12-09,0,0,"{'default': 'Senators', 'fr': 'Sénateurs'}",{'default': 'Devils'},0,-2,0,0,0,0,4,27,0,0,NJD,16:31,2,2025
2025020445,OTT,H,2025-12-06,0,0,"{'default': 'Senators', 'fr': 'Sénateurs'}",{'default': 'Blues'},0,-1,0,0,0,0,1,24,0,0,STL,14:57,0,2025
2025020427,OTT,H,2025-12-04,0,0,"{'default': 'Senators', 'fr': 'Sénateurs'}",{'default': 'Rangers'},0,-1,0,0,0,0,0,27,0,0,NYR,18:19,0,2025
2025020411,OTT,R,2025-12-02,0,2,"{'default': 'Senators', 'fr': 'Sénateurs'}",{'default': 'Canadiens'},2,3,0,0,0,0,0,31,0,0,MTL,20:52,0,2025
2025020405,OTT,R,2025-11-30,0,0,"{'default': 'Senators', 'fr': 'Sénateurs'}",{'default': 'Stars'},0,-2,0,0,0,0,0,28,0,0,DAL,18:53,0,2025
2025020382,OTT,R,2025-11-28,0,0,"{'default': 'Senators', 'fr': 'Sénateurs'}",{'default': 'Blues'},0,0,0,0,0,0,1,24,0,0,STL,18:34,0,2025
2025020373,OTT,R,2025-11-26,0,0,"{'default': 'Senators', 'fr': 'Sénateurs'}",{'default': 'Golden Knights'},0,-1,0,0,0,0,4,30,0,0,VGK,22:13,0,2025
2025020359,OTT,R,2025-11-24,0,0,"{'default': 'Senators', 'fr': 'Sénateurs'}",{'default': 'Kings'},0,-1,0,0,0,0,0,27,0,0,LAK,18:43,0,2025
2025020342,OTT,R,2025-11-22,0,1,"{'default': 'Senators', 'fr': 'Sénateurs'}",{'default': 'Sharks'},1,1,0,0,0,0,0,24,0,0,SJS,15:39,0,2025
2025020329,OTT,R,2025-11-20,0,0,"{'default': 'Senators', 'fr': 'Sénateurs'}",{'default': 'Ducks'},0,0,0,0,0,0,3,25,0,0,ANA,20:34,0,2025
2025020286,OTT,H,2025-11-15,0,0,"{'default': 'Senators', 'fr': 'Sénateurs'}",{'default': 'Kings'},0,0,0,0,0,0,0,23,0,0,LAK,17:26,0,2025
2025020271,OTT,H,2025-11-13,0,0,"{'default': 'Senators', 'fr': 'Sénateurs'}",{'default': 'Bruins'},0,-1,0,0,0,0,2,34,0,0,BOS,20:38,0,2025
2025020258,OTT,H,2025-11-11,0,0,"{'default': 'Senators', 'fr': 'Sénateurs'}",{'default': 'Stars'},0,-1,0,0,0,0,5,35,0,0,DAL,25:27,0,2025
2025020247,OTT,H,2025-11-09,0,0,"{'default': 'Senators', 'fr': 'Sénateurs'}",{'default': 'Mammoth'},0,0,0,0,0,0,0,22,0,0,UTA,15:44,0,2025
2025020232,OTT,R,2025-11-08,0,0,"{'default': 'Senators', 'fr': 'Sénateurs'}",{'default': 'Flyers'},0,0,0,0,0,0,1,23,0,0,PHI,18:18,0,2025
