gameId,teamAbbrev,homeRoadFlag,gameDate,goals,assists,commonName,opponentCommonName,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,shorthandedGoals,shorthandedPoints,toi,pim,opponentAbbrev,season
2025020904,TBL,H,2026-02-05,0,1,{'default': 'Lightning'},{'default': 'Panthers'},1,2,0,0,0,0,5,25,0,0,17:52,2,FLA,2025
2025020886,TBL,H,2026-02-03,0,0,{'default': 'Lightning'},{'default': 'Sabres'},0,1,0,0,0,0,1,24,0,0,17:39,0,BUF,2025
2025020873,TBL,H,2026-02-01,0,0,{'default': 'Lightning'},{'default': 'Bruins'},0,-1,0,0,0,0,2,16,0,0,10:18,0,BOS,2025
2025020466,TBL,R,2025-12-09,0,0,{'default': 'Lightning'},{'default': 'Canadiens'},0,0,0,0,0,0,1,8,0,0,6:14,0,MTL,2025
2025020461,TBL,R,2025-12-08,0,0,{'default': 'Lightning'},{'default': 'Maple Leafs'},0,-1,0,0,0,0,1,21,0,0,17:43,0,TOR,2025
2025020446,TBL,H,2025-12-06,0,0,{'default': 'Lightning'},{'default': 'Islanders'},0,0,0,0,0,0,0,18,0,0,16:43,2,NYI,2025
2025020236,TBL,H,2025-11-08,0,1,{'default': 'Lightning'},{'default': 'Capitals'},1,0,0,1,0,0,0,22,0,0,17:51,2,WSH,2025
2025020225,TBL,R,2025-11-06,0,1,{'default': 'Lightning'},{'default': 'Golden Knights'},1,-1,0,1,0,0,0,27,0,0,20:34,0,VGK,2025
2025020209,TBL,R,2025-11-04,0,1,{'default': 'Lightning'},{'default': 'Avalanche'},1,1,0,0,0,0,2,27,0,0,19:04,2,COL,2025
2025020194,TBL,R,2025-11-02,0,1,{'default': 'Lightning'},{'default': 'Mammoth'},1,0,0,0,0,0,1,23,0,0,20:08,0,UTA,2025
2025020169,TBL,H,2025-10-30,0,0,{'default': 'Lightning'},{'default': 'Stars'},0,-1,0,0,0,0,3,22,0,0,21:14,0,DAL,2025
