playerId,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8484227,2024,Will Smith,2024020019,SJS,STL,HOME,20241010,C,all,821.0,16.0,-0.24,0.4059,0.3371,0.4,0.3883,0.3636,0.403,8.0,1.585,0.119,0.109,0.465,0.087,0.775,0.445,0.119,0.12,0.12,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.119,0.0,0.0,0.0,0.0,0.0,2.1,2.0,2.089,0.0,0.025,0.0,0.0,0.144,0.145,0.145,16.0,3.0,1.0,3.0,9.0,0.0,1.0,4.0,11.0,1.0,10.0,2824.0,0.0,0.0,0.0,0.0,5.972,0.738,0.729,0.731,0.721,7.0,1.0,2.0,10.0,0.0,1.0,0.0,4.0,4.0,0.0,0.245,0.493,0.0,0.0,0.0,0.0,10.314,8.0,8.159,0.108,0.176,0.176,0.671,0.663,0.661,10.378,1.08,0.925,1.122,0.958,10.0,4.0,1.0,15.0,0.0,2.0,0.0,11.0,2.0,1.0,0.384,0.325,0.371,0.0,0.0,0.0,14.806,14.0,13.97,0.162,0.528,0.528,0.714,0.734,0.712,1.422,2.796,40.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0
8484227,2024,Will Smith,2024020037,SJS,ANA,HOME,20241012,C,all,785.0,19.0,-0.41,0.1019,0.7445,0.3793,0.6136,0.2727,0.6154,7.0,1.551,0.135,0.088,0.427,0.046,0.752,0.551,0.135,0.129,0.129,0.0,0.0,2.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,4.0,0.0,0.0,1.0,1.0,1.0,0.0,0.041,0.094,0.0,0.0,0.0,0.0,3.88,2.0,1.942,1.0,0.019,0.0,0.0,0.154,0.147,0.147,19.0,2.0,2.0,3.0,12.0,5.0,5.0,2.0,7.0,4.0,5.0,2815.0,2.0,0.0,0.0,1.0,3.956,0.258,0.258,0.247,0.247,4.0,2.0,5.0,11.0,0.0,0.0,0.0,5.0,1.0,0.0,0.164,0.094,0.0,0.0,0.0,0.0,10.7,6.0,5.827,0.047,0.0,0.0,0.305,0.291,0.291,11.627,2.273,2.25,2.323,2.3,10.0,6.0,2.0,18.0,1.0,2.0,0.0,11.0,2.0,3.0,0.354,0.324,1.594,1.0,0.0,0.0,18.583,16.0,16.497,0.15,0.406,0.406,2.016,2.055,2.044,3.474,1.192,54.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0
8484227,2024,Will Smith,2024020054,SJS,DAL,AWAY,20241015,C,all,610.0,15.0,-0.56,0.2238,0.413,0.2727,0.3909,0.2778,0.4024,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,4.0,1.0,1.0,9.0,2.0,3.0,2.0,8.0,0.0,6.0,3290.0,0.0,0.0,0.0,0.0,3.502,0.188,0.186,0.197,0.195,2.0,3.0,1.0,6.0,0.0,0.0,0.0,5.0,0.0,0.0,0.188,0.0,0.0,0.0,0.0,0.0,6.192,5.0,5.152,0.034,0.0,0.0,0.222,0.233,0.231,8.604,0.652,0.645,0.619,0.612,8.0,5.0,3.0,16.0,0.0,0.0,0.0,11.0,2.0,0.0,0.353,0.299,0.0,0.0,0.0,0.0,15.41,13.0,12.516,0.13,0.0,0.0,0.782,0.742,0.733,2.592,3.684,43.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0
8484227,2024,Will Smith,2024020070,SJS,CHI,AWAY,20241017,C,all,1149.0,18.0,0.375,0.4344,0.3078,0.6765,0.3708,0.6364,0.3594,2.0,1.398,0.03,0.062,0.391,0.045,0.811,0.661,0.03,0.03,0.03,0.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,2.911,2.0,1.954,0.0,0.013,0.0,0.0,0.043,0.043,0.043,18.0,2.0,0.0,4.0,12.0,3.0,2.0,1.0,12.0,3.0,3.0,2451.0,0.0,0.0,0.0,0.0,10.189,0.675,0.634,0.668,0.627,8.0,6.0,9.0,23.0,0.0,2.0,0.0,11.0,3.0,0.0,0.332,0.343,0.0,0.0,0.0,0.0,22.002,14.0,13.726,0.23,0.258,0.258,0.647,0.642,0.616,5.738,0.879,0.879,0.88,0.88,6.0,2.0,3.0,11.0,1.0,0.0,0.0,6.0,1.0,1.0,0.232,0.144,0.503,1.0,0.0,0.0,11.336,8.0,8.216,0.081,0.0,0.0,0.96,0.961,0.961,1.614,3.629,33.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0
8484227,2024,Will Smith,2024020089,SJS,COL,HOME,20241020,C,all,883.0,16.0,-0.135,0.3442,0.498,0.5217,0.5795,0.4667,0.5645,7.0,0.617,0.018,0.065,0.151,0.02,0.572,0.175,0.018,0.018,0.018,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.018,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.016,0.0,0.0,0.034,0.034,0.034,16.0,2.0,0.0,2.0,12.0,1.0,3.0,2.0,10.0,3.0,4.0,2717.0,0.0,0.0,0.0,0.0,4.644,0.423,0.404,0.398,0.38,5.0,2.0,5.0,12.0,0.0,1.0,0.0,4.0,3.0,0.0,0.049,0.374,0.0,0.0,0.0,0.0,11.49,7.0,6.666,0.106,0.094,0.094,0.436,0.414,0.409,5.711,0.806,0.804,0.837,0.834,7.0,1.0,3.0,11.0,1.0,0.0,0.0,6.0,1.0,1.0,0.22,0.103,0.484,0.0,0.0,1.0,11.888,8.0,8.633,0.069,0.0,0.0,0.875,0.911,0.907,2.331,2.35,51.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0
8484227,2024,Will Smith,2024020105,SJS,ANA,AWAY,20241022,C,all,776.0,16.0,0.335,0.4667,0.3066,0.6563,0.4622,0.5909,0.4118,8.0,2.452,0.3,0.17,0.533,0.077,1.109,0.812,0.3,0.314,0.314,0.0,0.0,3.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,3.0,2.0,4.0,2.0,0.0,0.0,2.0,2.0,0.0,1.0,0.05,0.0,0.25,0.0,0.0,0.0,5.039,3.0,3.025,0.0,0.037,0.0,0.0,0.337,0.352,0.352,16.0,2.0,2.0,1.0,11.0,3.0,5.0,2.0,6.0,2.0,1.0,2824.0,4.0,0.0,0.0,0.0,9.497,0.931,0.919,0.95,0.938,6.0,7.0,8.0,21.0,0.0,0.0,0.0,10.0,2.0,1.0,0.435,0.246,0.25,0.0,0.0,0.0,20.949,13.0,12.836,0.126,0.0,0.0,1.057,1.078,1.065,6.169,1.064,1.056,1.061,1.053,5.0,4.0,2.0,11.0,1.0,0.0,0.0,6.0,1.0,2.0,0.288,0.117,0.659,0.0,0.0,1.0,11.036,9.0,9.173,0.091,0.0,0.0,1.156,1.151,1.142,1.675,3.788,55.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0
8484227,2024,Will Smith,2024020134,SJS,VGK,AWAY,20241026,C,all,784.0,15.0,0.14,0.8236,0.3359,0.56,0.4,0.5556,0.3846,8.0,1.546,0.05,0.068,0.43,0.049,0.81,0.593,0.05,0.048,0.048,0.0,0.0,2.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,3.685,2.0,1.909,1.0,0.014,0.0,0.0,0.064,0.062,0.062,15.0,1.0,3.0,2.0,9.0,2.0,2.0,2.0,9.0,0.0,6.0,2816.0,0.0,0.0,0.0,0.0,7.754,1.433,1.139,1.386,1.101,6.0,4.0,4.0,14.0,1.0,4.0,1.0,6.0,2.0,2.0,0.142,0.282,1.009,0.0,0.0,1.0,12.74,10.0,9.543,0.125,1.291,1.291,0.267,0.258,0.243,5.755,0.307,0.303,0.312,0.307,6.0,2.0,3.0,11.0,1.0,1.0,0.0,7.0,1.0,0.0,0.218,0.09,0.0,1.0,0.0,0.0,12.056,8.0,8.391,0.069,0.09,0.09,0.287,0.292,0.29,1.579,3.122,42.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0
8484227,2024,Will Smith,2024020154,SJS,LAK,HOME,20241029,C,all,706.0,16.0,-0.62,0.1438,0.6184,0.25,0.4286,0.1429,0.4853,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,2.0,2.0,1.0,11.0,3.0,3.0,4.0,6.0,0.0,2.0,2894.0,0.0,0.0,0.0,0.0,1.541,0.11,0.11,0.106,0.106,2.0,0.0,4.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,0.027,0.083,0.0,0.0,0.0,0.0,5.85,2.0,1.971,0.024,0.0,0.0,0.134,0.129,0.129,8.379,0.655,0.64,0.685,0.669,6.0,6.0,6.0,18.0,0.0,1.0,0.0,10.0,1.0,1.0,0.238,0.163,0.254,0.0,0.0,0.0,18.43,12.0,12.269,0.102,0.163,0.163,0.594,0.62,0.611,3.395,2.095,42.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0
8484227,2024,Will Smith,2024020167,SJS,CHI,HOME,20241031,C,all,794.0,17.0,1.655,0.3885,0.5134,0.4348,0.3878,0.4615,0.4571,8.0,2.086,0.112,0.126,0.502,0.07,1.34,0.85,0.112,0.112,0.112,0.0,0.0,3.0,0.0,1.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.112,0.0,0.0,2.0,0.0,0.0,4.078,3.0,3.077,0.0,0.028,0.0,0.0,0.14,0.14,0.14,17.0,1.0,0.0,1.0,15.0,3.0,3.0,2.0,9.0,0.0,2.0,2806.0,0.0,0.0,0.0,0.0,4.379,0.406,0.406,0.405,0.405,5.0,1.0,4.0,10.0,2.0,0.0,0.0,4.0,2.0,0.0,0.133,0.273,0.0,2.0,0.0,0.0,9.956,6.0,6.125,0.066,0.0,0.0,0.472,0.47,0.47,5.282,0.639,0.639,0.655,0.655,5.0,2.0,6.0,13.0,0.0,0.0,0.0,3.0,3.0,1.0,0.058,0.373,0.208,0.0,0.0,0.0,13.074,7.0,7.015,0.107,0.0,0.0,0.746,0.765,0.765,1.994,1.89,38.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0
8484227,2024,Will Smith,2024020184,SJS,VAN,HOME,20241102,C,all,897.0,18.0,-0.29,0.4516,0.469,0.35,0.42,0.3636,0.4324,9.0,0.816,0.119,0.05,0.179,0.027,0.357,0.269,0.119,0.114,0.114,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.119,0.0,0.0,0.0,0.0,1.94,1.0,0.971,0.0,0.011,0.0,0.0,0.13,0.124,0.124,18.0,2.0,2.0,0.0,14.0,2.0,5.0,0.0,11.0,3.0,2.0,2703.0,0.0,0.0,0.0,0.0,2.945,0.247,0.247,0.24,0.24,2.0,2.0,3.0,7.0,0.0,0.0,0.0,2.0,2.0,0.0,0.029,0.217,0.0,0.0,0.0,0.0,6.902,4.0,3.952,0.038,0.0,0.0,0.285,0.277,0.277,4.672,0.3,0.3,0.314,0.314,3.0,4.0,6.0,13.0,0.0,0.0,0.0,6.0,1.0,0.0,0.134,0.167,0.0,0.0,0.0,0.0,13.302,7.0,7.081,0.064,0.0,0.0,0.365,0.38,0.38,1.772,2.006,42.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0
