gameId,teamAbbrev,homeRoadFlag,gameDate,goals,assists,commonName,opponentCommonName,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,shorthandedGoals,shorthandedPoints,toi,pim,opponentAbbrev,season
2025021051,CGY,R,2026-03-14,0,1,{'default': 'Flames'},{'default': 'Islanders'},1,1,0,0,0,0,2,21,0,0,17:40,0,NYI,2025
2025021032,CGY,R,2026-03-12,0,0,{'default': 'Flames'},{'default': 'Devils'},0,1,0,0,0,0,2,24,0,0,17:09,0,NJD,2025
2025021017,CGY,R,2026-03-10,0,0,{'default': 'Flames'},{'default': 'Rangers'},0,-1,0,0,0,0,0,22,0,0,17:01,0,NYR,2025
2025021009,CGY,R,2026-03-09,0,1,{'default': 'Flames'},{'default': 'Capitals'},1,-1,0,0,0,0,0,34,0,1,22:38,0,WSH,2025
2025020998,CGY,H,2026-03-07,0,0,{'default': 'Flames'},{'default': 'Hurricanes'},0,1,0,0,0,0,1,31,0,0,21:37,0,CAR,2025
2025020981,CGY,H,2026-03-05,0,0,{'default': 'Flames'},"{'default': 'Senators', 'fr': 'Sénateurs'}",0,-1,0,0,0,0,2,25,0,0,16:58,0,OTT,2025
2025020965,CGY,H,2026-03-03,0,0,{'default': 'Flames'},{'default': 'Stars'},0,-2,0,0,0,0,0,26,0,0,21:15,0,DAL,2025
2025020952,CGY,R,2026-03-01,0,0,{'default': 'Flames'},{'default': 'Ducks'},0,0,0,0,0,0,2,33,0,0,21:56,0,ANA,2025
2025020944,CGY,R,2026-02-28,0,0,{'default': 'Flames'},{'default': 'Kings'},0,0,0,0,0,0,1,26,0,0,21:47,0,LAK,2025
2025020928,CGY,R,2026-02-26,0,1,{'default': 'Flames'},{'default': 'Sharks'},1,0,0,0,0,0,1,29,0,0,20:03,0,SJS,2025
2025020900,CGY,H,2026-02-04,0,0,{'default': 'Flames'},{'default': 'Oilers'},0,1,0,0,0,0,1,30,0,0,21:33,0,EDM,2025
2025020885,CGY,H,2026-02-02,0,0,{'default': 'Flames'},{'default': 'Maple Leafs'},0,-1,0,0,0,0,2,26,0,0,18:20,0,TOR,2025
2025020863,CGY,H,2026-01-31,0,0,{'default': 'Flames'},{'default': 'Sharks'},0,0,0,0,0,0,1,27,0,0,18:50,0,SJS,2025
2025020853,CGY,R,2026-01-29,0,0,{'default': 'Flames'},{'default': 'Wild'},0,0,0,0,0,0,2,27,0,0,17:50,0,MIN,2025
2025020824,CGY,H,2026-01-25,0,0,{'default': 'Flames'},{'default': 'Ducks'},0,-1,0,0,0,0,4,29,0,0,19:07,2,ANA,2025
2025020806,CGY,H,2026-01-23,0,0,{'default': 'Flames'},{'default': 'Capitals'},0,-1,0,0,0,0,1,32,0,0,20:06,4,WSH,2025
2025020791,CGY,H,2026-01-21,0,0,{'default': 'Flames'},{'default': 'Penguins'},0,-1,0,0,0,0,1,26,0,0,17:54,0,PIT,2025
2025020777,CGY,H,2026-01-19,0,0,{'default': 'Flames'},{'default': 'Devils'},0,0,0,0,0,0,0,30,0,0,19:30,0,NJD,2025
2025020756,CGY,H,2026-01-17,1,0,{'default': 'Flames'},{'default': 'Islanders'},1,-1,0,0,0,0,1,27,0,0,19:03,0,NYI,2025
