gameId,teamAbbrev,homeRoadFlag,gameDate,goals,assists,commonName,opponentCommonName,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,shorthandedGoals,shorthandedPoints,opponentAbbrev,toi,pim,season
2025020941,TBL,H,2026-02-28,0,0,{'default': 'Lightning'},{'default': 'Sabres'},0,-1,0,0,0,0,1,21,0,0,BUF,15:59,0,2025
2025020923,TBL,R,2026-02-26,0,0,{'default': 'Lightning'},{'default': 'Hurricanes'},0,-2,0,0,0,0,3,20,0,0,CAR,16:04,0,2025
2025020912,TBL,H,2026-02-25,0,0,{'default': 'Lightning'},{'default': 'Maple Leafs'},0,-1,0,0,0,0,3,22,0,0,TOR,19:53,0,2025
2025020904,TBL,H,2026-02-05,0,1,{'default': 'Lightning'},{'default': 'Panthers'},1,1,0,0,0,0,0,17,0,0,FLA,14:16,10,2025
2025020886,TBL,H,2026-02-03,0,0,{'default': 'Lightning'},{'default': 'Sabres'},0,1,0,0,0,0,2,23,0,0,BUF,20:01,0,2025
2025020873,TBL,H,2026-02-01,0,0,{'default': 'Lightning'},{'default': 'Bruins'},0,-1,0,0,0,0,0,26,0,0,BOS,19:40,0,2025
2025020847,TBL,H,2026-01-29,1,2,{'default': 'Lightning'},{'default': 'Jets'},3,2,0,0,0,0,2,22,0,0,WPG,18:40,0,2025
2025020825,TBL,H,2026-01-26,0,0,{'default': 'Lightning'},{'default': 'Mammoth'},0,0,0,0,0,0,1,23,0,0,UTA,19:07,0,2025
2025020814,TBL,R,2026-01-24,0,0,{'default': 'Lightning'},{'default': 'Blue Jackets'},0,-3,0,0,0,0,2,22,0,0,CBJ,15:40,2,2025
2025020803,TBL,R,2026-01-23,0,0,{'default': 'Lightning'},{'default': 'Blackhawks'},0,0,0,0,0,0,2,19,0,0,CHI,17:16,0,2025
2025020781,TBL,H,2026-01-20,0,0,{'default': 'Lightning'},{'default': 'Sharks'},0,0,0,0,0,0,1,17,0,0,SJS,14:38,0,2025
2025020767,TBL,R,2026-01-18,0,1,{'default': 'Lightning'},{'default': 'Stars'},1,1,0,0,0,0,2,22,0,0,DAL,16:51,0,2025
2025020751,TBL,R,2026-01-16,0,0,{'default': 'Lightning'},{'default': 'Blues'},0,0,0,0,0,0,0,22,0,0,STL,16:56,0,2025
2025020726,TBL,R,2026-01-13,0,1,{'default': 'Lightning'},{'default': 'Penguins'},1,1,0,0,0,0,1,23,0,0,PIT,18:48,0,2025
2025020719,TBL,R,2026-01-12,0,1,{'default': 'Lightning'},{'default': 'Flyers'},1,1,0,0,0,0,0,17,0,0,PHI,16:47,2,2025
2025020705,TBL,R,2026-01-10,1,0,{'default': 'Lightning'},{'default': 'Flyers'},1,0,0,0,0,0,2,20,0,0,PHI,16:19,0,2025
2025020668,TBL,H,2026-01-06,0,1,{'default': 'Lightning'},{'default': 'Avalanche'},1,1,0,0,0,0,0,20,0,0,COL,16:15,0,2025
2025020649,TBL,R,2026-01-03,0,0,{'default': 'Lightning'},{'default': 'Sharks'},0,-1,0,0,0,0,3,17,0,0,SJS,15:19,2,2025
2025020639,TBL,R,2026-01-01,0,0,{'default': 'Lightning'},{'default': 'Kings'},0,1,0,0,0,0,1,17,0,0,LAK,15:18,5,2025
2025020624,TBL,R,2025-12-31,0,0,{'default': 'Lightning'},{'default': 'Ducks'},0,0,0,0,0,0,1,21,0,0,ANA,17:01,2,2025
2025020602,TBL,H,2025-12-28,0,0,{'default': 'Lightning'},{'default': 'Canadiens'},0,-1,0,0,0,0,1,20,0,0,MTL,15:46,0,2025
2025020591,TBL,R,2025-12-27,0,1,{'default': 'Lightning'},{'default': 'Panthers'},1,1,0,0,0,0,1,22,0,0,FLA,15:04,6,2025
2025020571,TBL,H,2025-12-22,0,0,{'default': 'Lightning'},{'default': 'Blues'},0,0,0,0,0,0,0,19,0,0,STL,15:42,0,2025
2025020557,TBL,H,2025-12-20,0,1,{'default': 'Lightning'},{'default': 'Hurricanes'},1,1,0,0,0,0,2,23,0,0,CAR,16:13,0,2025
2025020538,TBL,H,2025-12-18,0,0,{'default': 'Lightning'},{'default': 'Kings'},0,-2,0,0,0,0,2,22,0,0,LAK,17:22,0,2025
2025020514,TBL,H,2025-12-15,0,0,{'default': 'Lightning'},{'default': 'Panthers'},0,-2,0,0,0,0,0,25,0,0,FLA,16:53,2,2025
2025020498,TBL,R,2025-12-13,0,0,{'default': 'Lightning'},{'default': 'Islanders'},0,0,0,0,0,0,2,21,0,0,NYI,16:17,0,2025
2025020481,TBL,R,2025-12-11,0,1,{'default': 'Lightning'},{'default': 'Devils'},1,2,0,0,0,0,1,23,0,0,NJD,19:31,2,2025
2025020466,TBL,R,2025-12-09,0,0,{'default': 'Lightning'},{'default': 'Canadiens'},0,0,0,0,0,0,1,18,0,0,MTL,15:44,0,2025
2025020461,TBL,R,2025-12-08,0,0,{'default': 'Lightning'},{'default': 'Maple Leafs'},0,-1,0,0,0,0,1,17,0,0,TOR,14:38,0,2025
2025020446,TBL,H,2025-12-06,0,0,{'default': 'Lightning'},{'default': 'Islanders'},0,0,0,0,0,0,1,16,0,0,NYI,17:36,0,2025
2025020428,TBL,H,2025-12-04,0,0,{'default': 'Lightning'},{'default': 'Penguins'},0,0,0,0,0,0,2,21,0,0,PIT,16:22,0,2025
2025020414,TBL,R,2025-12-02,0,0,{'default': 'Lightning'},{'default': 'Islanders'},0,-1,0,0,0,0,2,20,0,0,NYI,14:40,0,2025
2025020391,TBL,R,2025-11-29,0,1,{'default': 'Lightning'},{'default': 'Rangers'},1,1,0,0,0,0,0,19,0,0,NYR,18:21,0,2025
2025020377,TBL,R,2025-11-28,2,0,{'default': 'Lightning'},{'default': 'Red Wings'},2,2,0,0,1,0,4,23,0,0,DET,16:21,2,2025
2025020362,TBL,H,2025-11-26,0,1,{'default': 'Lightning'},{'default': 'Flames'},1,1,0,0,0,0,2,18,0,0,CGY,15:03,0,2025
2025020353,TBL,H,2025-11-24,0,0,{'default': 'Lightning'},{'default': 'Flyers'},0,0,0,0,0,0,1,23,0,0,PHI,15:27,0,2025
2025020341,TBL,R,2025-11-22,0,0,{'default': 'Lightning'},{'default': 'Capitals'},0,0,0,0,0,0,0,24,0,0,WSH,19:23,0,2025
2025020322,TBL,H,2025-11-20,0,0,{'default': 'Lightning'},{'default': 'Oilers'},0,1,0,0,0,0,0,17,0,0,EDM,14:42,0,2025
2025020309,TBL,H,2025-11-18,0,0,{'default': 'Lightning'},{'default': 'Devils'},0,0,0,0,0,0,0,19,0,0,NJD,14:00,0,2025
2025020297,TBL,H,2025-11-16,0,0,{'default': 'Lightning'},{'default': 'Canucks'},0,-1,0,0,0,0,3,20,0,0,VAN,17:59,0,2025
2025020283,TBL,R,2025-11-15,0,1,{'default': 'Lightning'},{'default': 'Panthers'},1,1,0,0,0,0,1,27,0,0,FLA,20:21,4,2025
2025020265,TBL,H,2025-11-12,0,1,{'default': 'Lightning'},{'default': 'Rangers'},1,-2,0,0,0,0,2,21,0,0,NYR,14:27,4,2025
2025020236,TBL,H,2025-11-08,0,0,{'default': 'Lightning'},{'default': 'Capitals'},0,0,0,0,0,0,1,22,0,0,WSH,15:27,0,2025
2025020225,TBL,R,2025-11-06,0,0,{'default': 'Lightning'},{'default': 'Golden Knights'},0,-3,0,0,0,0,3,22,0,0,VGK,15:54,0,2025
2025020209,TBL,R,2025-11-04,0,0,{'default': 'Lightning'},{'default': 'Avalanche'},0,1,0,0,0,0,3,27,0,0,COL,17:54,0,2025
2025020194,TBL,R,2025-11-02,1,0,{'default': 'Lightning'},{'default': 'Mammoth'},1,1,0,0,0,0,4,25,0,0,UTA,17:33,0,2025
2025020169,TBL,H,2025-10-30,0,0,{'default': 'Lightning'},{'default': 'Stars'},0,0,0,0,0,0,1,18,0,0,DAL,15:07,2,2025
2025020156,TBL,R,2025-10-28,0,1,{'default': 'Lightning'},{'default': 'Predators'},1,2,0,0,0,0,1,22,0,0,NSH,14:32,0,2025
2025020141,TBL,H,2025-10-26,0,0,{'default': 'Lightning'},{'default': 'Golden Knights'},0,0,0,0,0,0,2,18,0,0,VGK,15:38,0,2025
2025020129,TBL,H,2025-10-25,0,0,{'default': 'Lightning'},{'default': 'Ducks'},0,-1,0,0,0,0,0,19,0,0,ANA,13:14,0,2025
2025020113,TBL,H,2025-10-23,0,0,{'default': 'Lightning'},{'default': 'Blackhawks'},0,1,0,0,0,0,3,19,0,0,CHI,16:34,4,2025
2025020082,TBL,R,2025-10-18,0,0,{'default': 'Lightning'},{'default': 'Blue Jackets'},0,1,0,0,0,0,0,23,0,0,CBJ,17:37,0,2025
2025020072,TBL,R,2025-10-17,0,0,{'default': 'Lightning'},{'default': 'Red Wings'},0,0,0,0,0,0,0,23,0,0,DET,15:49,2,2025
2025020052,TBL,R,2025-10-14,0,0,{'default': 'Lightning'},{'default': 'Capitals'},0,0,0,0,0,0,0,23,0,0,WSH,16:38,0,2025
2025020040,TBL,R,2025-10-13,1,0,{'default': 'Lightning'},{'default': 'Bruins'},1,1,0,0,0,0,5,23,0,0,BOS,15:34,0,2025
2025020026,TBL,H,2025-10-11,1,0,{'default': 'Lightning'},{'default': 'Devils'},1,-1,0,0,0,0,2,20,0,0,NJD,15:33,0,2025
2025020011,TBL,H,2025-10-09,0,0,{'default': 'Lightning'},"{'default': 'Senators', 'fr': 'Sénateurs'}",0,0,0,0,0,0,2,23,0,0,OTT,17:08,0,2025
2024021310,TBL,R,2025-04-17,0,0,{'default': 'Lightning'},{'default': 'Rangers'},0,-2,0,0,0,0,3,24,0,0,NYR,19:24,0,2024
2024021294,TBL,H,2025-04-15,0,2,{'default': 'Lightning'},{'default': 'Panthers'},2,2,0,0,0,0,2,23,0,0,FLA,19:12,0,2024
2024021280,TBL,H,2025-04-13,0,1,{'default': 'Lightning'},{'default': 'Sabres'},1,2,0,0,0,0,3,23,0,0,BUF,18:56,0,2024
2024021261,TBL,H,2025-04-11,0,0,{'default': 'Lightning'},{'default': 'Red Wings'},0,-2,0,0,0,0,1,18,0,0,DET,17:08,0,2024
2024021245,TBL,H,2025-04-09,0,0,{'default': 'Lightning'},{'default': 'Maple Leafs'},0,-1,0,0,0,0,3,23,0,0,TOR,19:53,0,2024
2024021230,TBL,R,2025-04-07,1,0,{'default': 'Lightning'},{'default': 'Rangers'},1,1,0,0,1,0,2,19,0,0,NYR,16:39,0,2024
2024021215,TBL,R,2025-04-05,0,1,{'default': 'Lightning'},{'default': 'Sabres'},1,1,0,0,0,0,0,22,0,0,BUF,17:22,0,2024
2024021198,TBL,R,2025-04-03,0,1,{'default': 'Lightning'},"{'default': 'Senators', 'fr': 'Sénateurs'}",1,0,0,0,0,0,3,18,0,0,OTT,14:13,0,2024
2024021186,TBL,R,2025-04-01,0,0,{'default': 'Lightning'},{'default': 'Islanders'},0,0,0,0,0,0,2,14,0,0,NYI,12:03,5,2024
2024021160,TBL,H,2025-03-29,0,0,{'default': 'Lightning'},{'default': 'Islanders'},0,1,0,0,0,0,1,21,0,0,NYI,15:49,0,2024
2024021145,TBL,H,2025-03-27,0,2,{'default': 'Lightning'},"{'default': 'Utah Hockey Club', 'fr': ""Club de hockey de l'Utah""}",2,2,0,0,0,0,1,22,0,0,UTA,18:04,0,2024
2024021131,TBL,H,2025-03-25,0,0,{'default': 'Lightning'},{'default': 'Penguins'},0,0,0,0,0,0,1,24,0,0,PIT,17:07,0,2024
2024021122,TBL,R,2025-03-23,0,0,{'default': 'Lightning'},{'default': 'Golden Knights'},0,1,0,0,0,0,1,21,0,0,VGK,15:10,7,2024
2024021111,TBL,R,2025-03-22,0,1,{'default': 'Lightning'},"{'default': 'Utah Hockey Club', 'fr': ""Club de hockey de l'Utah""}",1,-1,0,0,0,0,0,22,0,0,UTA,16:15,0,2024
2024021097,TBL,R,2025-03-20,0,1,{'default': 'Lightning'},{'default': 'Stars'},1,1,0,0,0,0,1,21,0,0,DAL,18:37,0,2024
2024021074,TBL,H,2025-03-17,0,0,{'default': 'Lightning'},{'default': 'Flyers'},0,0,0,0,0,0,2,23,0,0,PHI,17:56,2,2024
2024021058,TBL,R,2025-03-15,0,2,{'default': 'Lightning'},{'default': 'Bruins'},2,2,0,0,0,0,3,22,0,0,BOS,17:26,0,2024
2024021043,TBL,R,2025-03-13,0,1,{'default': 'Lightning'},{'default': 'Flyers'},1,-2,0,1,0,0,1,22,0,0,PHI,16:57,0,2024
2024021029,TBL,R,2025-03-11,0,0,{'default': 'Lightning'},{'default': 'Hurricanes'},0,0,0,0,0,0,3,21,0,0,CAR,16:43,2,2024
2024021005,TBL,H,2025-03-08,0,0,{'default': 'Lightning'},{'default': 'Bruins'},0,0,0,0,0,0,0,20,0,0,BOS,15:16,0,2024
2024020989,TBL,H,2025-03-06,0,1,{'default': 'Lightning'},{'default': 'Sabres'},1,-1,0,0,0,0,2,22,0,0,BUF,16:47,0,2024
2024020982,SEA,H,2025-03-04,0,1,{'default': 'Kraken'},{'default': 'Wild'},1,0,0,0,0,0,2,15,0,0,MIN,12:53,0,2024
2024020613,SEA,H,2025-01-02,0,0,{'default': 'Kraken'},{'default': 'Canucks'},0,-2,0,0,0,0,0,19,0,0,VAN,16:24,0,2024
2024020588,SEA,H,2024-12-30,1,0,{'default': 'Kraken'},"{'default': 'Utah Hockey Club', 'fr': ""Club de hockey de l'Utah""}",1,0,0,0,0,0,3,19,0,0,UTA,15:40,0,2024
2024020567,SEA,R,2024-12-28,0,0,{'default': 'Kraken'},{'default': 'Canucks'},0,1,0,0,0,0,0,22,0,0,VAN,17:55,2,2024
